Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"etcd.dial_timeout"="1s"
"insertproportion"="0"
"command"="run"
"updateproportion"="0.5"
"requestdistribution"="uniform"
"workload"="core"
"dotransactions"="true"
"recordcount"="100000"
"operationcount"="50000"
"scanproportion"="0"
"threadcount"="5"
"docollectingdata"="false"
"readallfields"="true"
"readproportion"="0.5"
"etcd.endpoints"="192.168.37.11:2379"
**********************************************
READ   - Takes(s): 9.9, Count: 178, OPS: 17.9, Avg(us): 108291, Min(us): 51872, Max(us): 134143, 50th(us): 115967, 90th(us): 123775, 95th(us): 126847, 99th(us): 128575, 99.9th(us): 134143, 99.99th(us): 134143
READ_ERROR - Takes(s): 9.8, Count: 120, OPS: 12.2, Avg(us): 105594, Min(us): 55296, Max(us): 130495, 50th(us): 113279, 90th(us): 121727, 95th(us): 122431, 99th(us): 128319, 99.9th(us): 130495, 99.99th(us): 130495
TOTAL  - Takes(s): 9.9, Count: 464, OPS: 46.7, Avg(us): 79577, Min(us): 51552, Max(us): 134143, 50th(us): 64447, 90th(us): 120063, 95th(us): 123263, 99th(us): 127871, 99.9th(us): 134143, 99.99th(us): 134143
UPDATE - Takes(s): 9.9, Count: 286, OPS: 28.8, Avg(us): 61706, Min(us): 51552, Max(us): 91071, 50th(us): 61887, 90th(us): 65855, 95th(us): 67135, 99th(us): 70079, 99.9th(us): 91071, 99.99th(us): 91071
READ   - Takes(s): 19.9, Count: 347, OPS: 17.4, Avg(us): 109679, Min(us): 51872, Max(us): 141951, 50th(us): 115839, 90th(us): 125567, 95th(us): 128575, 99th(us): 134143, 99.9th(us): 141951, 99.99th(us): 141951
READ_ERROR - Takes(s): 19.8, Count: 231, OPS: 11.7, Avg(us): 105316, Min(us): 54336, Max(us): 133375, 50th(us): 113919, 90th(us): 122431, 95th(us): 124799, 99th(us): 130495, 99.9th(us): 133375, 99.99th(us): 133375
TOTAL  - Takes(s): 19.9, Count: 945, OPS: 47.4, Avg(us): 79947, Min(us): 51552, Max(us): 141951, 50th(us): 64927, 90th(us): 120447, 95th(us): 123711, 99th(us): 130687, 99.9th(us): 134655, 99.99th(us): 141951
UPDATE - Takes(s): 19.9, Count: 598, OPS: 30.0, Avg(us): 62694, Min(us): 51552, Max(us): 91071, 50th(us): 62719, 90th(us): 67583, 95th(us): 69183, 99th(us): 81919, 99.9th(us): 88127, 99.99th(us): 91071
READ   - Takes(s): 29.9, Count: 522, OPS: 17.4, Avg(us): 110046, Min(us): 51872, Max(us): 141951, 50th(us): 116095, 90th(us): 126847, 95th(us): 129215, 99th(us): 133503, 99.9th(us): 134655, 99.99th(us): 141951
READ_ERROR - Takes(s): 29.8, Count: 339, OPS: 11.4, Avg(us): 107698, Min(us): 54336, Max(us): 135423, 50th(us): 115391, 90th(us): 125311, 95th(us): 127551, 99th(us): 131967, 99.9th(us): 135423, 99.99th(us): 135423
TOTAL  - Takes(s): 29.9, Count: 1407, OPS: 47.0, Avg(us): 80409, Min(us): 51424, Max(us): 141951, 50th(us): 65247, 90th(us): 121151, 95th(us): 125183, 99th(us): 130751, 99.9th(us): 134655, 99.99th(us): 141951
