Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"etcd.endpoints"="192.168.37.12:2379"
"updateproportion"="0.5"
"recordcount"="100000"
"threadcount"="5"
"scanproportion"="0"
"requestdistribution"="uniform"
"workload"="core"
"readallfields"="true"
"command"="run"
"insertproportion"="0"
"docollectingdata"="false"
"etcd.dial_timeout"="1s"
"readproportion"="0.5"
"dotransactions"="true"
"operationcount"="50000"
**********************************************
READ   - Takes(s): 10.0, Count: 357, OPS: 35.8, Avg(us): 53871, Min(us): 23840, Max(us): 72831, 50th(us): 56991, 90th(us): 63519, 95th(us): 66495, 99th(us): 69119, 99.9th(us): 72831, 99.99th(us): 72831
READ_ERROR - Takes(s): 9.9, Count: 209, OPS: 21.0, Avg(us): 54552, Min(us): 25424, Max(us): 69439, 50th(us): 56671, 90th(us): 63583, 95th(us): 65471, 99th(us): 68799, 99.9th(us): 69439, 99.99th(us): 69439
TOTAL  - Takes(s): 10.0, Count: 949, OPS: 95.2, Avg(us): 40589, Min(us): 23328, Max(us): 72831, 50th(us): 35199, 90th(us): 60063, 95th(us): 62975, 99th(us): 68479, 99.9th(us): 71359, 99.99th(us): 72831
UPDATE - Takes(s): 10.0, Count: 592, OPS: 59.4, Avg(us): 32579, Min(us): 23328, Max(us): 44383, 50th(us): 32191, 90th(us): 37087, 95th(us): 38015, 99th(us): 39839, 99.9th(us): 40767, 99.99th(us): 44383
READ   - Takes(s): 20.0, Count: 702, OPS: 35.2, Avg(us): 53794, Min(us): 23840, Max(us): 72831, 50th(us): 56543, 90th(us): 63039, 95th(us): 65439, 99th(us): 68863, 99.9th(us): 71359, 99.99th(us): 72831
READ_ERROR - Takes(s): 19.9, Count: 458, OPS: 23.0, Avg(us): 53995, Min(us): 25424, Max(us): 69439, 50th(us): 56415, 90th(us): 62783, 95th(us): 64383, 99th(us): 67903, 99.9th(us): 69439, 99.99th(us): 69439
TOTAL  - Takes(s): 20.0, Count: 1862, OPS: 93.2, Avg(us): 40324, Min(us): 23328, Max(us): 72831, 50th(us): 34271, 90th(us): 59743, 95th(us): 62143, 99th(us): 67263, 99.9th(us): 70463, 99.99th(us): 72831
UPDATE - Takes(s): 20.0, Count: 1160, OPS: 58.1, Avg(us): 32172, Min(us): 23328, Max(us): 44383, 50th(us): 31727, 90th(us): 36671, 95th(us): 37791, 99th(us): 39999, 99.9th(us): 41855, 99.99th(us): 44383
READ   - Takes(s): 30.0, Count: 1075, OPS: 35.9, Avg(us): 53441, Min(us): 23488, Max(us): 72831, 50th(us): 56383, 90th(us): 62143, 95th(us): 63711, 99th(us): 68607, 99.9th(us): 71359, 99.99th(us): 72831
READ_ERROR - Takes(s): 29.9, Count: 672, OPS: 22.4, Avg(us): 54054, Min(us): 25424, Max(us): 69439, 50th(us): 56447, 90th(us): 62143, 95th(us): 63519, 99th(us): 66815, 99.9th(us): 68799, 99.99th(us): 69439
TOTAL  - Takes(s): 30.0, Count: 2839, OPS: 94.7, Avg(us): 39978, Min(us): 23328, Max(us): 72831, 50th(us): 33215, 90th(us): 59487, 95th(us): 61311, 99th(us): 66431, 99.9th(us): 70463, 99.99th(us): 72831
