Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"scanproportion"="0"
"dotransactions"="true"
"etcd.dial_timeout"="10s"
"recordcount"="100000"
"updateproportion"="0.5"
"docollectingdata"="false"
"command"="run"
"insertproportion"="0"
"operationcount"="50000"
"threadcount"="5"
"etcd.endpoints"="192.168.37.14:2379"
"readallfields"="true"
"readproportion"="0.5"
"workload"="core"
"requestdistribution"="uniform"
**********************************************
READ   - Takes(s): 9.9, Count: 201, OPS: 20.2, Avg(us): 88762, Min(us): 44960, Max(us): 112895, 50th(us): 96255, 90th(us): 107263, 95th(us): 109823, 99th(us): 112319, 99.9th(us): 112895, 99.99th(us): 112895
READ_ERROR - Takes(s): 9.8, Count: 124, OPS: 12.6, Avg(us): 91298, Min(us): 47840, Max(us): 116031, 50th(us): 98623, 90th(us): 108735, 95th(us): 111359, 99th(us): 115967, 99.9th(us): 116031, 99.99th(us): 116031
TOTAL  - Takes(s): 9.9, Count: 570, OPS: 57.3, Avg(us): 67456, Min(us): 44960, Max(us): 112895, 50th(us): 57791, 90th(us): 100671, 95th(us): 105727, 99th(us): 110399, 99.9th(us): 112703, 99.99th(us): 112895
UPDATE - Takes(s): 9.9, Count: 369, OPS: 37.1, Avg(us): 55851, Min(us): 44960, Max(us): 72767, 50th(us): 55679, 90th(us): 61631, 95th(us): 63903, 99th(us): 69119, 99.9th(us): 72767, 99.99th(us): 72767
READ   - Takes(s): 19.9, Count: 420, OPS: 21.1, Avg(us): 90344, Min(us): 43200, Max(us): 113407, 50th(us): 97151, 90th(us): 107263, 95th(us): 109503, 99th(us): 112319, 99.9th(us): 113407, 99.99th(us): 113407
READ_ERROR - Takes(s): 19.8, Count: 248, OPS: 12.5, Avg(us): 92493, Min(us): 47456, Max(us): 116031, 50th(us): 98559, 90th(us): 107455, 95th(us): 110207, 99th(us): 113791, 99.9th(us): 116031, 99.99th(us): 116031
TOTAL  - Takes(s): 19.9, Count: 1117, OPS: 56.0, Avg(us): 68800, Min(us): 43200, Max(us): 113407, 50th(us): 58111, 90th(us): 101759, 95th(us): 106111, 99th(us): 111295, 99.9th(us): 112895, 99.99th(us): 113407
UPDATE - Takes(s): 19.9, Count: 697, OPS: 35.0, Avg(us): 55817, Min(us): 44960, Max(us): 72767, 50th(us): 55519, 90th(us): 61983, 95th(us): 63775, 99th(us): 67455, 99.9th(us): 70015, 99.99th(us): 72767
READ   - Takes(s): 29.9, Count: 654, OPS: 21.8, Avg(us): 90573, Min(us): 43200, Max(us): 113727, 50th(us): 97855, 90th(us): 107711, 95th(us): 109439, 99th(us): 112319, 99.9th(us): 113407, 99.99th(us): 113727
READ_ERROR - Takes(s): 29.8, Count: 361, OPS: 12.1, Avg(us): 92815, Min(us): 47456, Max(us): 116031, 50th(us): 98431, 90th(us): 107135, 95th(us): 109311, 99th(us): 112575, 99.9th(us): 116031, 99.99th(us): 116031
TOTAL  - Takes(s): 29.9, Count: 1677, OPS: 56.0, Avg(us): 69326, Min(us): 43200, Max(us): 113727, 50th(us): 58239, 90th(us): 103423, 95th(us): 107007, 99th(us): 110591, 99.9th(us): 112895, 99.99th(us): 113727
UPDATE - Takes(s): 29.9, Count: 1023, OPS: 34.2, Avg(us): 55743, Min(us): 44800, Max(us): 72767, 50th(us): 55327, 90th(us): 62015, 95th(us): 63903, 99th(us): 67263, 99.9th(us): 70015, 99.99th(us): 72767
READ   - Takes(s): 39.9, Count: 852, OPS: 21.3, Avg(us): 90550, Min(us): 43200, Max(us): 115455, 50th(us): 97599, 90th(us): 107839, 95th(us): 109631, 99th(us): 112703, 99.9th(us): 114303, 99.99th(us): 115455
READ_ERROR - Takes(s): 39.8, Count: 488, OPS: 12.2, Avg(us): 92897, Min(us): 47456, Max(us): 116031, 50th(us): 98751, 90th(us): 106815, 95th(us): 109247, 99th(us): 112895, 99.9th(us): 116031, 99.99th(us): 116031
