Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"readallfields"="true"
"workload"="core"
"etcd.endpoints"="192.168.37.15:2379"
"etcd.dial_timeout"="10s"
"requestdistribution"="uniform"
"readproportion"="0.5"
"recordcount"="100000"
"docollectingdata"="false"
"updateproportion"="0.5"
"scanproportion"="0"
"operationcount"="50000"
"threadcount"="5"
"dotransactions"="true"
"insertproportion"="0"
"command"="run"
**********************************************
READ   - Takes(s): 9.9, Count: 150, OPS: 15.1, Avg(us): 124893, Min(us): 64256, Max(us): 154495, 50th(us): 137599, 90th(us): 145791, 95th(us): 148479, 99th(us): 153471, 99.9th(us): 154495, 99.99th(us): 154495
READ_ERROR - Takes(s): 9.9, Count: 99, OPS: 10.0, Avg(us): 130041, Min(us): 67520, Max(us): 153471, 50th(us): 138879, 90th(us): 145535, 95th(us): 148479, 99th(us): 152447, 99.9th(us): 153471, 99.99th(us): 153471
TOTAL  - Takes(s): 9.9, Count: 394, OPS: 39.7, Avg(us): 93413, Min(us): 62368, Max(us): 154495, 50th(us): 76159, 90th(us): 142719, 95th(us): 145407, 99th(us): 151679, 99.9th(us): 154495, 99.99th(us): 154495
UPDATE - Takes(s): 9.9, Count: 244, OPS: 24.6, Avg(us): 74061, Min(us): 62368, Max(us): 84543, 50th(us): 74175, 90th(us): 78335, 95th(us): 79551, 99th(us): 83519, 99.9th(us): 84543, 99.99th(us): 84543
READ   - Takes(s): 19.9, Count: 305, OPS: 15.3, Avg(us): 126198, Min(us): 63456, Max(us): 157567, 50th(us): 137599, 90th(us): 147071, 95th(us): 148607, 99th(us): 153343, 99.9th(us): 157567, 99.99th(us): 157567
READ_ERROR - Takes(s): 19.9, Count: 203, OPS: 10.2, Avg(us): 128508, Min(us): 66944, Max(us): 153471, 50th(us): 138623, 90th(us): 146431, 95th(us): 148991, 99th(us): 152063, 99.9th(us): 153471, 99.99th(us): 153471
TOTAL  - Takes(s): 19.9, Count: 780, OPS: 39.1, Avg(us): 94279, Min(us): 62368, Max(us): 157567, 50th(us): 76223, 90th(us): 143103, 95th(us): 145791, 99th(us): 150783, 99.9th(us): 154495, 99.99th(us): 157567
UPDATE - Takes(s): 19.9, Count: 475, OPS: 23.8, Avg(us): 73784, Min(us): 62368, Max(us): 84543, 50th(us): 73855, 90th(us): 78463, 95th(us): 79551, 99th(us): 83519, 99.9th(us): 84543, 99.99th(us): 84543
READ   - Takes(s): 29.9, Count: 444, OPS: 14.8, Avg(us): 125921, Min(us): 63456, Max(us): 157567, 50th(us): 138367, 90th(us): 146815, 95th(us): 148607, 99th(us): 152063, 99.9th(us): 157567, 99.99th(us): 157567
READ_ERROR - Takes(s): 29.9, Count: 308, OPS: 10.3, Avg(us): 128355, Min(us): 65728, Max(us): 153471, 50th(us): 139263, 90th(us): 146431, 95th(us): 148607, 99th(us): 152063, 99.9th(us): 153471, 99.99th(us): 153471
TOTAL  - Takes(s): 29.9, Count: 1181, OPS: 39.5, Avg(us): 93443, Min(us): 62368, Max(us): 157567, 50th(us): 76095, 90th(us): 143103, 95th(us): 145663, 99th(us): 150015, 99.9th(us): 154495, 99.99th(us): 157567
UPDATE - Takes(s): 29.9, Count: 737, OPS: 24.6, Avg(us): 73876, Min(us): 62368, Max(us): 84543, 50th(us): 73983, 90th(us): 78399, 95th(us): 79423, 99th(us): 83007, 99.9th(us): 83583, 99.99th(us): 84543
READ   - Takes(s): 39.9, Count: 605, OPS: 15.2, Avg(us): 127002, Min(us): 63456, Max(us): 157567, 50th(us): 138623, 90th(us): 147071, 95th(us): 148735, 99th(us): 152063, 99.9th(us): 154495, 99.99th(us): 157567
READ_ERROR - Takes(s): 39.9, Count: 404, OPS: 10.1, Avg(us): 127780, Min(us): 65728, Max(us): 153471, 50th(us): 139263, 90th(us): 146559, 95th(us): 148735, 99th(us): 151679, 99.9th(us): 153471, 99.99th(us): 153471
