Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"requestdistribution"="latest"
"readallfields"="true"
"command"="run"
"threadcount"="5"
"insertproportion"="0.05"
"readproportion"="0.95"
"etcd.dial_timeout"="1s"
"operationcount"="50000"
"dotransactions"="true"
"etcd.endpoints"="192.168.37.11:2379"
"updateproportion"="0"
"workload"="core"
"recordcount"="100000"
"scanproportion"="0"
"docollectingdata"="false"
**********************************************
INSERT - Takes(s): 9.8, Count: 29, OPS: 3.0, Avg(us): 74428, Min(us): 58432, Max(us): 99711, 50th(us): 65983, 90th(us): 94655, 95th(us): 97919, 99th(us): 99711, 99.9th(us): 99711, 99.99th(us): 99711
READ   - Takes(s): 9.9, Count: 122, OPS: 12.4, Avg(us): 120009, Min(us): 85696, Max(us): 134783, 50th(us): 121407, 90th(us): 128767, 95th(us): 130751, 99th(us): 134783, 99.9th(us): 134783, 99.99th(us): 134783
READ_ERROR - Takes(s): 9.9, Count: 278, OPS: 28.0, Avg(us): 118153, Min(us): 60768, Max(us): 136191, 50th(us): 119039, 90th(us): 126719, 95th(us): 129087, 99th(us): 133119, 99.9th(us): 136191, 99.99th(us): 136191
TOTAL  - Takes(s): 9.9, Count: 151, OPS: 15.3, Avg(us): 111255, Min(us): 58432, Max(us): 134783, 50th(us): 118527, 90th(us): 128639, 95th(us): 129983, 99th(us): 133247, 99.9th(us): 134783, 99.99th(us): 134783
INSERT - Takes(s): 19.8, Count: 42, OPS: 2.1, Avg(us): 75073, Min(us): 58432, Max(us): 109759, 50th(us): 66175, 90th(us): 95807, 95th(us): 97919, 99th(us): 109759, 99.9th(us): 109759, 99.99th(us): 109759
READ   - Takes(s): 19.9, Count: 286, OPS: 14.4, Avg(us): 121649, Min(us): 85696, Max(us): 145279, 50th(us): 122175, 90th(us): 130559, 95th(us): 133503, 99th(us): 139263, 99.9th(us): 145279, 99.99th(us): 145279
READ_ERROR - Takes(s): 19.9, Count: 513, OPS: 25.7, Avg(us): 120112, Min(us): 60768, Max(us): 141439, 50th(us): 120895, 90th(us): 129151, 95th(us): 130815, 99th(us): 136191, 99.9th(us): 140799, 99.99th(us): 141439
TOTAL  - Takes(s): 19.9, Count: 328, OPS: 16.5, Avg(us): 115685, Min(us): 58432, Max(us): 145279, 50th(us): 120511, 90th(us): 130111, 95th(us): 133247, 99th(us): 139263, 99.9th(us): 145279, 99.99th(us): 145279
INSERT - Takes(s): 29.8, Count: 63, OPS: 2.1, Avg(us): 77256, Min(us): 58272, Max(us): 120831, 50th(us): 70655, 90th(us): 96959, 95th(us): 100863, 99th(us): 109759, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 29.9, Count: 453, OPS: 15.2, Avg(us): 122821, Min(us): 62496, Max(us): 151551, 50th(us): 123583, 90th(us): 133247, 95th(us): 135295, 99th(us): 141695, 99.9th(us): 151551, 99.99th(us): 151551
READ_ERROR - Takes(s): 29.9, Count: 733, OPS: 24.5, Avg(us): 121882, Min(us): 60768, Max(us): 159359, 50th(us): 122431, 90th(us): 132607, 95th(us): 134399, 99th(us): 141439, 99.9th(us): 159359, 99.99th(us): 159359
TOTAL  - Takes(s): 29.9, Count: 516, OPS: 17.3, Avg(us): 117258, Min(us): 58272, Max(us): 151551, 50th(us): 122239, 90th(us): 131967, 95th(us): 134783, 99th(us): 141695, 99.9th(us): 145279, 99.99th(us): 151551
INSERT - Takes(s): 39.8, Count: 83, OPS: 2.1, Avg(us): 77701, Min(us): 58272, Max(us): 120831, 50th(us): 70655, 90th(us): 97919, 95th(us): 105599, 99th(us): 110463, 99.9th(us): 120831, 99.99th(us): 120831
