Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"etcd.dial_timeout"="1s"
"scanproportion"="0"
"readallfields"="true"
"dotransactions"="true"
"docollectingdata"="false"
"threadcount"="5"
"recordcount"="100000"
"readproportion"="0.95"
"requestdistribution"="latest"
"updateproportion"="0"
"operationcount"="50000"
"command"="run"
"etcd.endpoints"="192.168.37.12:2379"
"insertproportion"="0.05"
"workload"="core"
**********************************************
INSERT - Takes(s): 9.6, Count: 43, OPS: 4.5, Avg(us): 31708, Min(us): 26160, Max(us): 42719, 50th(us): 31551, 90th(us): 36447, 95th(us): 39167, 99th(us): 42719, 99.9th(us): 42719, 99.99th(us): 42719
READ   - Takes(s): 9.9, Count: 298, OPS: 30.1, Avg(us): 56994, Min(us): 33376, Max(us): 78207, 50th(us): 56575, 90th(us): 63455, 95th(us): 67071, 99th(us): 73727, 99.9th(us): 78207, 99.99th(us): 78207
READ_ERROR - Takes(s): 10.0, Count: 552, OPS: 55.4, Avg(us): 57115, Min(us): 31920, Max(us): 78143, 50th(us): 57183, 90th(us): 64063, 95th(us): 66879, 99th(us): 71487, 99.9th(us): 78015, 99.99th(us): 78143
TOTAL  - Takes(s): 9.9, Count: 341, OPS: 34.5, Avg(us): 53805, Min(us): 26160, Max(us): 78207, 50th(us): 55551, 90th(us): 62815, 95th(us): 65535, 99th(us): 73727, 99.9th(us): 78207, 99.99th(us): 78207
INSERT - Takes(s): 19.6, Count: 88, OPS: 4.5, Avg(us): 32424, Min(us): 25248, Max(us): 53823, 50th(us): 31439, 90th(us): 39167, 95th(us): 40895, 99th(us): 48831, 99.9th(us): 53823, 99.99th(us): 53823
READ   - Takes(s): 19.9, Count: 657, OPS: 33.0, Avg(us): 58686, Min(us): 30624, Max(us): 86463, 50th(us): 58047, 90th(us): 67519, 95th(us): 71295, 99th(us): 76095, 99.9th(us): 85951, 99.99th(us): 86463
READ_ERROR - Takes(s): 20.0, Count: 999, OPS: 50.0, Avg(us): 58481, Min(us): 31920, Max(us): 83455, 50th(us): 58239, 90th(us): 66559, 95th(us): 68927, 99th(us): 74623, 99.9th(us): 78271, 99.99th(us): 83455
TOTAL  - Takes(s): 19.9, Count: 745, OPS: 37.4, Avg(us): 55584, Min(us): 25248, Max(us): 86463, 50th(us): 57055, 90th(us): 66687, 95th(us): 70079, 99th(us): 76095, 99.9th(us): 85951, 99.99th(us): 86463
INSERT - Takes(s): 29.6, Count: 124, OPS: 4.2, Avg(us): 32601, Min(us): 25248, Max(us): 58783, 50th(us): 31599, 90th(us): 39615, 95th(us): 40895, 99th(us): 53823, 99.9th(us): 58783, 99.99th(us): 58783
READ   - Takes(s): 29.9, Count: 1058, OPS: 35.4, Avg(us): 59610, Min(us): 29296, Max(us): 86463, 50th(us): 59039, 90th(us): 68543, 95th(us): 72063, 99th(us): 77183, 99.9th(us): 85951, 99.99th(us): 86463
READ_ERROR - Takes(s): 30.0, Count: 1397, OPS: 46.6, Avg(us): 59159, Min(us): 29104, Max(us): 83455, 50th(us): 59007, 90th(us): 67583, 95th(us): 69951, 99th(us): 75519, 99.9th(us): 78783, 99.99th(us): 83455
TOTAL  - Takes(s): 29.9, Count: 1182, OPS: 39.5, Avg(us): 56776, Min(us): 25248, Max(us): 86463, 50th(us): 58175, 90th(us): 68287, 95th(us): 71423, 99th(us): 77183, 99.9th(us): 85951, 99.99th(us): 86463
INSERT - Takes(s): 39.6, Count: 167, OPS: 4.2, Avg(us): 33296, Min(us): 25248, Max(us): 58783, 50th(us): 31951, 90th(us): 40447, 95th(us): 41983, 99th(us): 48831, 99.9th(us): 58783, 99.99th(us): 58783
READ   - Takes(s): 39.9, Count: 1483, OPS: 37.2, Avg(us): 60054, Min(us): 29296, Max(us): 86463, 50th(us): 59391, 90th(us): 68927, 95th(us): 71935, 99th(us): 78015, 99.9th(us): 85951, 99.99th(us): 86463
