Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"recordcount"="100000"
"dotransactions"="true"
"etcd.dial_timeout"="1s"
"scanproportion"="0"
"readallfields"="true"
"command"="run"
"workload"="core"
"updateproportion"="0"
"docollectingdata"="false"
"operationcount"="50000"
"readproportion"="0.95"
"insertproportion"="0.05"
"etcd.endpoints"="192.168.37.13:2379"
"requestdistribution"="latest"
"threadcount"="5"
**********************************************
INSERT - Takes(s): 9.6, Count: 7, OPS: 0.7, Avg(us): 117654, Min(us): 110656, Max(us): 125311, 50th(us): 115903, 90th(us): 122303, 95th(us): 125311, 99th(us): 125311, 99.9th(us): 125311, 99.99th(us): 125311
READ   - Takes(s): 9.3, Count: 43, OPS: 4.6, Avg(us): 222203, Min(us): 196480, Max(us): 247167, 50th(us): 222463, 90th(us): 236799, 95th(us): 241663, 99th(us): 247167, 99.9th(us): 247167, 99.99th(us): 247167
READ_ERROR - Takes(s): 9.9, Count: 181, OPS: 18.3, Avg(us): 215494, Min(us): 107392, Max(us): 247295, 50th(us): 215423, 90th(us): 229759, 95th(us): 233727, 99th(us): 245503, 99.9th(us): 247295, 99.99th(us): 247295
TOTAL  - Takes(s): 9.6, Count: 50, OPS: 5.2, Avg(us): 207566, Min(us): 110656, Max(us): 247167, 50th(us): 219263, 90th(us): 236799, 95th(us): 241663, 99th(us): 247167, 99.9th(us): 247167, 99.99th(us): 247167
INSERT - Takes(s): 19.6, Count: 16, OPS: 0.8, Avg(us): 127884, Min(us): 105024, Max(us): 168319, 50th(us): 121279, 90th(us): 147711, 95th(us): 162943, 99th(us): 168319, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 19.3, Count: 126, OPS: 6.5, Avg(us): 219214, Min(us): 129216, Max(us): 262015, 50th(us): 217855, 90th(us): 236799, 95th(us): 243583, 99th(us): 247167, 99.9th(us): 262015, 99.99th(us): 262015
READ_ERROR - Takes(s): 19.9, Count: 323, OPS: 16.2, Avg(us): 216092, Min(us): 107392, Max(us): 262399, 50th(us): 216703, 90th(us): 233727, 95th(us): 239615, 99th(us): 246655, 99.9th(us): 262399, 99.99th(us): 262399
TOTAL  - Takes(s): 19.6, Count: 142, OPS: 7.3, Avg(us): 208923, Min(us): 105024, Max(us): 262015, 50th(us): 215935, 90th(us): 236287, 95th(us): 242047, 99th(us): 247167, 99.9th(us): 262015, 99.99th(us): 262015
INSERT - Takes(s): 29.6, Count: 25, OPS: 0.8, Avg(us): 127086, Min(us): 105024, Max(us): 168319, 50th(us): 121279, 90th(us): 162303, 95th(us): 162943, 99th(us): 168319, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 29.3, Count: 216, OPS: 7.4, Avg(us): 217171, Min(us): 121280, Max(us): 262015, 50th(us): 217343, 90th(us): 235775, 95th(us): 238207, 99th(us): 247167, 99.9th(us): 262015, 99.99th(us): 262015
READ_ERROR - Takes(s): 29.9, Count: 459, OPS: 15.4, Avg(us): 216241, Min(us): 107392, Max(us): 262399, 50th(us): 216447, 90th(us): 233215, 95th(us): 238975, 99th(us): 247295, 99.9th(us): 262399, 99.99th(us): 262399
TOTAL  - Takes(s): 29.6, Count: 241, OPS: 8.2, Avg(us): 207826, Min(us): 105024, Max(us): 262015, 50th(us): 215679, 90th(us): 233343, 95th(us): 237951, 99th(us): 247167, 99.9th(us): 262015, 99.99th(us): 262015
INSERT - Takes(s): 39.6, Count: 31, OPS: 0.8, Avg(us): 124396, Min(us): 102976, Max(us): 168319, 50th(us): 114943, 90th(us): 147711, 95th(us): 162303, 99th(us): 168319, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 39.3, Count: 322, OPS: 8.2, Avg(us): 217074, Min(us): 104256, Max(us): 262015, 50th(us): 216959, 90th(us): 235775, 95th(us): 239615, 99th(us): 246655, 99.9th(us): 262015, 99.99th(us): 262015
READ_ERROR - Takes(s): 39.9, Count: 581, OPS: 14.6, Avg(us): 216450, Min(us): 107392, Max(us): 262399, 50th(us): 216959, 90th(us): 232191, 95th(us): 238975, 99th(us): 247167, 99.9th(us): 256383, 99.99th(us): 262399
TOTAL  - Takes(s): 39.6, Count: 353, OPS: 8.9, Avg(us): 208935, Min(us): 102976, Max(us): 262015, 50th(us): 215935, 90th(us): 235135, 95th(us): 238207, 99th(us): 245375, 99.9th(us): 262015, 99.99th(us): 262015
INSERT - Takes(s): 49.6, Count: 35, OPS: 0.7, Avg(us): 124127, Min(us): 102976, Max(us): 168319, 50th(us): 115327, 90th(us): 147711, 95th(us): 162303, 99th(us): 168319, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 49.3, Count: 435, OPS: 8.8, Avg(us): 218133, Min(us): 104256, Max(us): 262015, 50th(us): 217855, 90th(us): 236287, 95th(us): 239871, 99th(us): 246655, 99.9th(us): 262015, 99.99th(us): 262015
READ_ERROR - Takes(s): 49.9, Count: 694, OPS: 13.9, Avg(us): 216965, Min(us): 105088, Max(us): 262399, 50th(us): 217215, 90th(us): 234367, 95th(us): 238975, 99th(us): 247295, 99.9th(us): 256383, 99.99th(us): 262399
TOTAL  - Takes(s): 49.6, Count: 470, OPS: 9.5, Avg(us): 211133, Min(us): 102976, Max(us): 262015, 50th(us): 216831, 90th(us): 236031, 95th(us): 239743, 99th(us): 245375, 99.9th(us): 262015, 99.99th(us): 262015
INSERT - Takes(s): 59.6, Count: 43, OPS: 0.7, Avg(us): 124148, Min(us): 102976, Max(us): 168319, 50th(us): 116159, 90th(us): 147711, 95th(us): 162303, 99th(us): 168319, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 59.3, Count: 528, OPS: 8.9, Avg(us): 217496, Min(us): 104256, Max(us): 262015, 50th(us): 217087, 90th(us): 235903, 95th(us): 239743, 99th(us): 245887, 99.9th(us): 253567, 99.99th(us): 262015
READ_ERROR - Takes(s): 59.9, Count: 828, OPS: 13.8, Avg(us): 216857, Min(us): 105088, Max(us): 262399, 50th(us): 216959, 90th(us): 234623, 95th(us): 238975, 99th(us): 248191, 99.9th(us): 258559, 99.99th(us): 262399
TOTAL  - Takes(s): 59.6, Count: 571, OPS: 9.6, Avg(us): 210467, Min(us): 102976, Max(us): 262015, 50th(us): 216319, 90th(us): 235391, 95th(us): 238975, 99th(us): 245503, 99.9th(us): 253567, 99.99th(us): 262015
INSERT - Takes(s): 69.6, Count: 56, OPS: 0.8, Avg(us): 124936, Min(us): 99136, Max(us): 168319, 50th(us): 116735, 90th(us): 147711, 95th(us): 162303, 99th(us): 165119, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 69.3, Count: 618, OPS: 8.9, Avg(us): 216493, Min(us): 104256, Max(us): 262015, 50th(us): 216191, 90th(us): 235007, 95th(us): 238463, 99th(us): 245503, 99.9th(us): 253567, 99.99th(us): 262015
READ_ERROR - Takes(s): 69.9, Count: 966, OPS: 13.8, Avg(us): 215937, Min(us): 105088, Max(us): 262399, 50th(us): 215935, 90th(us): 232959, 95th(us): 238079, 99th(us): 247167, 99.9th(us): 258559, 99.99th(us): 262399
TOTAL  - Takes(s): 69.6, Count: 674, OPS: 9.7, Avg(us): 208886, Min(us): 99136, Max(us): 262015, 50th(us): 215423, 90th(us): 233215, 95th(us): 238207, 99th(us): 245375, 99.9th(us): 253567, 99.99th(us): 262015
INSERT - Takes(s): 79.6, Count: 73, OPS: 0.9, Avg(us): 124856, Min(us): 99136, Max(us): 168319, 50th(us): 116223, 90th(us): 154239, 95th(us): 160639, 99th(us): 165119, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 79.3, Count: 735, OPS: 9.3, Avg(us): 215077, Min(us): 104256, Max(us): 262015, 50th(us): 215423, 90th(us): 232575, 95th(us): 238079, 99th(us): 245503, 99.9th(us): 253567, 99.99th(us): 262015
READ_ERROR - Takes(s): 79.9, Count: 1079, OPS: 13.5, Avg(us): 215428, Min(us): 105088, Max(us): 262399, 50th(us): 215167, 90th(us): 231295, 95th(us): 237823, 99th(us): 247167, 99.9th(us): 258559, 99.99th(us): 262399
TOTAL  - Takes(s): 79.6, Count: 808, OPS: 10.2, Avg(us): 206926, Min(us): 99136, Max(us): 262015, 50th(us): 214143, 90th(us): 231551, 95th(us): 237951, 99th(us): 245375, 99.9th(us): 253567, 99.99th(us): 262015
INSERT - Takes(s): 89.6, Count: 84, OPS: 0.9, Avg(us): 123505, Min(us): 99136, Max(us): 168319, 50th(us): 115903, 90th(us): 149759, 95th(us): 160639, 99th(us): 165119, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 89.3, Count: 857, OPS: 9.6, Avg(us): 213841, Min(us): 104256, Max(us): 262015, 50th(us): 214143, 90th(us): 230655, 95th(us): 236927, 99th(us): 245247, 99.9th(us): 253567, 99.99th(us): 262015
