Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"scanproportion"="0"
"command"="run"
"workload"="core"
"requestdistribution"="uniform"
"etcd.endpoints"="192.168.37.12:2379"
"threadcount"="5"
"readallfields"="true"
"operationcount"="50000"
"readproportion"="0.5"
"updateproportion"="0.5"
"etcd.dial_timeout"="1s"
"dotransactions"="true"
"docollectingdata"="false"
"recordcount"="100000"
"insertproportion"="0"
**********************************************
READ   - Takes(s): 9.8, Count: 116, OPS: 11.8, Avg(us): 124966, Min(us): 92160, Max(us): 202111, 50th(us): 118207, 90th(us): 152575, 95th(us): 163711, 99th(us): 178559, 99.9th(us): 202111, 99.99th(us): 202111
READ_ERROR - Takes(s): 9.7, Count: 86, OPS: 8.9, Avg(us): 123581, Min(us): 90176, Max(us): 187775, 50th(us): 116543, 90th(us): 158207, 95th(us): 168575, 99th(us): 173183, 99.9th(us): 187775, 99.99th(us): 187775
TOTAL  - Takes(s): 9.8, Count: 342, OPS: 34.9, Avg(us): 114115, Min(us): 86784, Max(us): 225407, 50th(us): 108671, 90th(us): 135551, 95th(us): 150655, 99th(us): 203519, 99.9th(us): 225407, 99.99th(us): 225407
UPDATE - Takes(s): 9.8, Count: 226, OPS: 23.1, Avg(us): 108545, Min(us): 86784, Max(us): 225407, 50th(us): 106367, 90th(us): 117119, 95th(us): 120767, 99th(us): 213247, 99.9th(us): 225407, 99.99th(us): 225407
READ   - Takes(s): 19.8, Count: 237, OPS: 12.0, Avg(us): 126374, Min(us): 92160, Max(us): 202111, 50th(us): 122431, 90th(us): 157823, 95th(us): 164863, 99th(us): 178559, 99.9th(us): 202111, 99.99th(us): 202111
READ_ERROR - Takes(s): 19.7, Count: 172, OPS: 8.7, Avg(us): 126995, Min(us): 90176, Max(us): 190207, 50th(us): 120319, 90th(us): 161023, 95th(us): 168319, 99th(us): 180351, 99.9th(us): 190207, 99.99th(us): 190207
TOTAL  - Takes(s): 19.8, Count: 678, OPS: 34.2, Avg(us): 114889, Min(us): 86784, Max(us): 225407, 50th(us): 110207, 90th(us): 135551, 95th(us): 152575, 99th(us): 178559, 99.9th(us): 225407, 99.99th(us): 225407
UPDATE - Takes(s): 19.8, Count: 441, OPS: 22.3, Avg(us): 108716, Min(us): 86784, Max(us): 225407, 50th(us): 107583, 90th(us): 117119, 95th(us): 120447, 99th(us): 132351, 99.9th(us): 225407, 99.99th(us): 225407
READ   - Takes(s): 29.8, Count: 376, OPS: 12.6, Avg(us): 128151, Min(us): 92160, Max(us): 202111, 50th(us): 123327, 90th(us): 158335, 95th(us): 166527, 99th(us): 178559, 99.9th(us): 202111, 99.99th(us): 202111
READ_ERROR - Takes(s): 29.7, Count: 242, OPS: 8.1, Avg(us): 130491, Min(us): 90176, Max(us): 193919, 50th(us): 125183, 90th(us): 164223, 95th(us): 172799, 99th(us): 187775, 99.9th(us): 193919, 99.99th(us): 193919
TOTAL  - Takes(s): 29.8, Count: 1020, OPS: 34.2, Avg(us): 115891, Min(us): 86784, Max(us): 225407, 50th(us): 111103, 90th(us): 138111, 95th(us): 155135, 99th(us): 178303, 99.9th(us): 225407, 99.99th(us): 225407
UPDATE - Takes(s): 29.8, Count: 644, OPS: 21.6, Avg(us): 108733, Min(us): 86784, Max(us): 225407, 50th(us): 107967, 90th(us): 117439, 95th(us): 120319, 99th(us): 125951, 99.9th(us): 225407, 99.99th(us): 225407
READ   - Takes(s): 39.8, Count: 504, OPS: 12.7, Avg(us): 129655, Min(us): 92160, Max(us): 202111, 50th(us): 125695, 90th(us): 158335, 95th(us): 168447, 99th(us): 182143, 99.9th(us): 191231, 99.99th(us): 202111
READ_ERROR - Takes(s): 39.7, Count: 334, OPS: 8.4, Avg(us): 131731, Min(us): 90176, Max(us): 193919, 50th(us): 127615, 90th(us): 164607, 95th(us): 174079, 99th(us): 187775, 99.9th(us): 193919, 99.99th(us): 193919
TOTAL  - Takes(s): 39.8, Count: 1333, OPS: 33.5, Avg(us): 116836, Min(us): 86784, Max(us): 225407, 50th(us): 112319, 90th(us): 139647, 95th(us): 156031, 99th(us): 178559, 99.9th(us): 225407, 99.99th(us): 225407
UPDATE - Takes(s): 39.8, Count: 829, OPS: 20.8, Avg(us): 109042, Min(us): 86784, Max(us): 225407, 50th(us): 108159, 90th(us): 117951, 95th(us): 120895, 99th(us): 128767, 99.9th(us): 225407, 99.99th(us): 225407
READ   - Takes(s): 49.8, Count: 625, OPS: 12.6, Avg(us): 131281, Min(us): 92160, Max(us): 202111, 50th(us): 127231, 90th(us): 163583, 95th(us): 173823, 99th(us): 183935, 99.9th(us): 191615, 99.99th(us): 202111
READ_ERROR - Takes(s): 49.7, Count: 397, OPS: 8.0, Avg(us): 131884, Min(us): 90176, Max(us): 193919, 50th(us): 128127, 90th(us): 163583, 95th(us): 173183, 99th(us): 187135, 99.9th(us): 193919, 99.99th(us): 193919
TOTAL  - Takes(s): 49.8, Count: 1677, OPS: 33.7, Avg(us): 117718, Min(us): 86784, Max(us): 225407, 50th(us): 112831, 90th(us): 141311, 95th(us): 157823, 99th(us): 179967, 99.9th(us): 213247, 99.99th(us): 225407
UPDATE - Takes(s): 49.8, Count: 1052, OPS: 21.1, Avg(us): 109660, Min(us): 86784, Max(us): 225407, 50th(us): 108671, 90th(us): 119487, 95th(us): 122495, 99th(us): 129791, 99.9th(us): 225407, 99.99th(us): 225407
READ   - Takes(s): 59.8, Count: 755, OPS: 12.6, Avg(us): 131577, Min(us): 92160, Max(us): 202111, 50th(us): 127167, 90th(us): 163839, 95th(us): 173311, 99th(us): 183039, 99.9th(us): 191615, 99.99th(us): 202111
READ_ERROR - Takes(s): 59.7, Count: 474, OPS: 7.9, Avg(us): 132149, Min(us): 90176, Max(us): 193919, 50th(us): 128127, 90th(us): 163711, 95th(us): 173055, 99th(us): 185983, 99.9th(us): 193919, 99.99th(us): 193919
