Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"workload"="core"
"command"="run"
"etcd.dial_timeout"="10s"
"recordcount"="100000"
"insertproportion"="0"
"readallfields"="true"
"docollectingdata"="false"
"requestdistribution"="uniform"
"etcd.endpoints"="192.168.37.17:2379"
"readproportion"="0.5"
"scanproportion"="0"
"threadcount"="5"
"operationcount"="50000"
"updateproportion"="0.5"
"dotransactions"="true"
**********************************************
READ   - Takes(s): 10.0, Count: 269, OPS: 27.0, Avg(us): 68351, Min(us): 28976, Max(us): 94847, 50th(us): 75007, 90th(us): 86207, 95th(us): 89663, 99th(us): 92991, 99.9th(us): 94847, 99.99th(us): 94847
READ_ERROR - Takes(s): 9.9, Count: 172, OPS: 17.3, Avg(us): 70227, Min(us): 28784, Max(us): 100799, 50th(us): 74943, 90th(us): 86399, 95th(us): 89215, 99th(us): 96575, 99.9th(us): 100799, 99.99th(us): 100799
TOTAL  - Takes(s): 10.0, Count: 752, OPS: 75.5, Avg(us): 50141, Min(us): 26352, Max(us): 94847, 50th(us): 42719, 90th(us): 80703, 95th(us): 84287, 99th(us): 91327, 99.9th(us): 94719, 99.99th(us): 94847
UPDATE - Takes(s): 10.0, Count: 483, OPS: 48.5, Avg(us): 39999, Min(us): 26352, Max(us): 55455, 50th(us): 40127, 90th(us): 45535, 95th(us): 47295, 99th(us): 50367, 99.9th(us): 55455, 99.99th(us): 55455
READ   - Takes(s): 20.0, Count: 526, OPS: 26.4, Avg(us): 69835, Min(us): 28976, Max(us): 104319, 50th(us): 75391, 90th(us): 88831, 95th(us): 91967, 99th(us): 97151, 99.9th(us): 103743, 99.99th(us): 104319
READ_ERROR - Takes(s): 19.9, Count: 337, OPS: 16.9, Avg(us): 69901, Min(us): 28784, Max(us): 107775, 50th(us): 75327, 90th(us): 88319, 95th(us): 91199, 99th(us): 96639, 99.9th(us): 107775, 99.99th(us): 107775
TOTAL  - Takes(s): 20.0, Count: 1496, OPS: 74.9, Avg(us): 50951, Min(us): 26352, Max(us): 104319, 50th(us): 43263, 90th(us): 81599, 95th(us): 86207, 99th(us): 94015, 99.9th(us): 103743, 99.99th(us): 104319
UPDATE - Takes(s): 20.0, Count: 970, OPS: 48.6, Avg(us): 40711, Min(us): 26352, Max(us): 57023, 50th(us): 40671, 90th(us): 46911, 95th(us): 48671, 99th(us): 51295, 99.9th(us): 55455, 99.99th(us): 57023
READ   - Takes(s): 30.0, Count: 816, OPS: 27.2, Avg(us): 70644, Min(us): 28880, Max(us): 105663, 50th(us): 75519, 90th(us): 89919, 95th(us): 92927, 99th(us): 100031, 99.9th(us): 105023, 99.99th(us): 105663
READ_ERROR - Takes(s): 29.9, Count: 502, OPS: 16.8, Avg(us): 70519, Min(us): 28784, Max(us): 107775, 50th(us): 75711, 90th(us): 89343, 95th(us): 92159, 99th(us): 97855, 99.9th(us): 100799, 99.99th(us): 107775
TOTAL  - Takes(s): 30.0, Count: 2199, OPS: 73.4, Avg(us): 52018, Min(us): 26352, Max(us): 105663, 50th(us): 43807, 90th(us): 82943, 95th(us): 88447, 99th(us): 95615, 99.9th(us): 104319, 99.99th(us): 105663
UPDATE - Takes(s): 30.0, Count: 1383, OPS: 46.2, Avg(us): 41027, Min(us): 26352, Max(us): 61759, 50th(us): 40831, 90th(us): 47295, 95th(us): 49279, 99th(us): 53727, 99.9th(us): 59583, 99.99th(us): 61759
READ   - Takes(s): 40.0, Count: 1104, OPS: 27.6, Avg(us): 70675, Min(us): 28880, Max(us): 105663, 50th(us): 75391, 90th(us): 90111, 95th(us): 93311, 99th(us): 99775, 99.9th(us): 105023, 99.99th(us): 105663
READ_ERROR - Takes(s): 39.9, Count: 660, OPS: 16.5, Avg(us): 70758, Min(us): 28784, Max(us): 107775, 50th(us): 75647, 90th(us): 89919, 95th(us): 92415, 99th(us): 97855, 99.9th(us): 103359, 99.99th(us): 107775
TOTAL  - Takes(s): 40.0, Count: 2925, OPS: 73.2, Avg(us): 52366, Min(us): 26352, Max(us): 105663, 50th(us): 44127, 90th(us): 83135, 95th(us): 88511, 99th(us): 95871, 99.9th(us): 103743, 99.99th(us): 105663
UPDATE - Takes(s): 40.0, Count: 1821, OPS: 45.6, Avg(us): 41266, Min(us): 26352, Max(us): 61759, 50th(us): 41055, 90th(us): 47807, 95th(us): 49567, 99th(us): 53919, 99.9th(us): 59583, 99.99th(us): 61759
READ   - Takes(s): 50.0, Count: 1399, OPS: 28.0, Avg(us): 70311, Min(us): 28880, Max(us): 116543, 50th(us): 74815, 90th(us): 89535, 95th(us): 93119, 99th(us): 100095, 99.9th(us): 116287, 99.99th(us): 116543
READ_ERROR - Takes(s): 49.9, Count: 812, OPS: 16.3, Avg(us): 70594, Min(us): 28784, Max(us): 107775, 50th(us): 75327, 90th(us): 89215, 95th(us): 92223, 99th(us): 97855, 99.9th(us): 104831, 99.99th(us): 107775
TOTAL  - Takes(s): 50.0, Count: 3673, OPS: 73.5, Avg(us): 52398, Min(us): 26352, Max(us): 116543, 50th(us): 44287, 90th(us): 82367, 95th(us): 87999, 99th(us): 96127, 99.9th(us): 105663, 99.99th(us): 116543
UPDATE - Takes(s): 50.0, Count: 2274, OPS: 45.5, Avg(us): 41378, Min(us): 26352, Max(us): 66751, 50th(us): 41055, 90th(us): 48031, 95th(us): 49951, 99th(us): 55551, 99.9th(us): 63199, 99.99th(us): 66751
READ   - Takes(s): 60.0, Count: 1701, OPS: 28.4, Avg(us): 69721, Min(us): 28880, Max(us): 116543, 50th(us): 73983, 90th(us): 89087, 95th(us): 92543, 99th(us): 100095, 99.9th(us): 112191, 99.99th(us): 116543
READ_ERROR - Takes(s): 59.9, Count: 962, OPS: 16.1, Avg(us): 70490, Min(us): 28784, Max(us): 116479, 50th(us): 74943, 90th(us): 89023, 95th(us): 92223, 99th(us): 99263, 99.9th(us): 107775, 99.99th(us): 116479
TOTAL  - Takes(s): 60.0, Count: 4431, OPS: 73.9, Avg(us): 52359, Min(us): 26352, Max(us): 116543, 50th(us): 44287, 90th(us): 81663, 95th(us): 87167, 99th(us): 95807, 99.9th(us): 111551, 99.99th(us): 116543
UPDATE - Takes(s): 60.0, Count: 2730, OPS: 45.5, Avg(us): 41541, Min(us): 26352, Max(us): 72255, 50th(us): 41119, 90th(us): 48223, 95th(us): 50335, 99th(us): 56383, 99.9th(us): 68927, 99.99th(us): 72255
READ   - Takes(s): 70.0, Count: 2022, OPS: 28.9, Avg(us): 69830, Min(us): 28880, Max(us): 116543, 50th(us): 73791, 90th(us): 88959, 95th(us): 92287, 99th(us): 100031, 99.9th(us): 112191, 99.99th(us): 116543
READ_ERROR - Takes(s): 69.9, Count: 1104, OPS: 15.8, Avg(us): 70161, Min(us): 28784, Max(us): 116479, 50th(us): 74623, 90th(us): 88767, 95th(us): 91903, 99th(us): 98495, 99.9th(us): 107775, 99.99th(us): 116479
TOTAL  - Takes(s): 70.0, Count: 5163, OPS: 73.8, Avg(us): 52731, Min(us): 26352, Max(us): 116543, 50th(us): 44767, 90th(us): 81791, 95th(us): 87103, 99th(us): 95615, 99.9th(us): 111551, 99.99th(us): 116287
UPDATE - Takes(s): 70.0, Count: 3141, OPS: 44.9, Avg(us): 41724, Min(us): 26352, Max(us): 72255, 50th(us): 41311, 90th(us): 48479, 95th(us): 50751, 99th(us): 57407, 99.9th(us): 69887, 99.99th(us): 72255
READ   - Takes(s): 80.0, Count: 2351, OPS: 29.4, Avg(us): 69375, Min(us): 28880, Max(us): 116543, 50th(us): 73151, 90th(us): 88191, 95th(us): 91967, 99th(us): 99775, 99.9th(us): 112191, 99.99th(us): 116543
READ_ERROR - Takes(s): 79.9, Count: 1243, OPS: 15.6, Avg(us): 69817, Min(us): 28720, Max(us): 116479, 50th(us): 74047, 90th(us): 88383, 95th(us): 91775, 99th(us): 98047, 99.9th(us): 107775, 99.99th(us): 116479
TOTAL  - Takes(s): 80.0, Count: 5956, OPS: 74.5, Avg(us): 52556, Min(us): 26352, Max(us): 116543, 50th(us): 44607, 90th(us): 81215, 95th(us): 86719, 99th(us): 94719, 99.9th(us): 105663, 99.99th(us): 116287
UPDATE - Takes(s): 80.0, Count: 3605, OPS: 45.1, Avg(us): 41587, Min(us): 26352, Max(us): 72255, 50th(us): 41183, 90th(us): 48351, 95th(us): 50559, 99th(us): 56383, 99.9th(us): 68927, 99.99th(us): 72255
READ   - Takes(s): 90.0, Count: 2683, OPS: 29.8, Avg(us): 69050, Min(us): 28880, Max(us): 116543, 50th(us): 72831, 90th(us): 87679, 95th(us): 91455, 99th(us): 99711, 99.9th(us): 112127, 99.99th(us): 116543
READ_ERROR - Takes(s): 89.9, Count: 1381, OPS: 15.4, Avg(us): 69449, Min(us): 28720, Max(us): 116479, 50th(us): 73663, 90th(us): 87935, 95th(us): 91391, 99th(us): 97855, 99.9th(us): 107775, 99.99th(us): 116479
TOTAL  - Takes(s): 90.0, Count: 6758, OPS: 75.1, Avg(us): 52364, Min(us): 26352, Max(us): 116543, 50th(us): 44351, 90th(us): 80575, 95th(us): 86015, 99th(us): 94335, 99.9th(us): 105599, 99.99th(us): 116287
UPDATE - Takes(s): 90.0, Count: 4075, OPS: 45.3, Avg(us): 41378, Min(us): 26352, Max(us): 72255, 50th(us): 40991, 90th(us): 48159, 95th(us): 50399, 99th(us): 55839, 99.9th(us): 68927, 99.99th(us): 72255
READ   - Takes(s): 100.0, Count: 3020, OPS: 30.2, Avg(us): 68431, Min(us): 28880, Max(us): 116543, 50th(us): 72063, 90th(us): 87103, 95th(us): 91135, 99th(us): 98751, 99.9th(us): 112127, 99.99th(us): 116543
READ_ERROR - Takes(s): 99.9, Count: 1520, OPS: 15.2, Avg(us): 68958, Min(us): 28720, Max(us): 116479, 50th(us): 72959, 90th(us): 87359, 95th(us): 91071, 99th(us): 97343, 99.9th(us): 104831, 99.99th(us): 116479
TOTAL  - Takes(s): 100.0, Count: 7591, OPS: 75.9, Avg(us): 52027, Min(us): 26352, Max(us): 116543, 50th(us): 44159, 90th(us): 79871, 95th(us): 85631, 99th(us): 93951, 99.9th(us): 105087, 99.99th(us): 116287
UPDATE - Takes(s): 100.0, Count: 4571, OPS: 45.7, Avg(us): 41189, Min(us): 26352, Max(us): 72255, 50th(us): 40831, 90th(us): 48031, 95th(us): 50207, 99th(us): 55743, 99.9th(us): 67071, 99.99th(us): 72255
READ   - Takes(s): 110.0, Count: 3372, OPS: 30.7, Avg(us): 68440, Min(us): 28880, Max(us): 116543, 50th(us): 71999, 90th(us): 86911, 95th(us): 91007, 99th(us): 97919, 99.9th(us): 112127, 99.99th(us): 116543
READ_ERROR - Takes(s): 109.9, Count: 1650, OPS: 15.0, Avg(us): 68874, Min(us): 28720, Max(us): 116479, 50th(us): 72831, 90th(us): 86975, 95th(us): 91007, 99th(us): 97151, 99.9th(us): 104831, 99.99th(us): 116479
TOTAL  - Takes(s): 110.0, Count: 8366, OPS: 76.1, Avg(us): 52117, Min(us): 26352, Max(us): 116543, 50th(us): 44159, 90th(us): 79871, 95th(us): 85503, 99th(us): 93631, 99.9th(us): 105087, 99.99th(us): 116287
UPDATE - Takes(s): 110.0, Count: 4994, OPS: 45.4, Avg(us): 41095, Min(us): 26352, Max(us): 72255, 50th(us): 40735, 90th(us): 47871, 95th(us): 50047, 99th(us): 55647, 99.9th(us): 67071, 99.99th(us): 72255
READ   - Takes(s): 120.0, Count: 3706, OPS: 30.9, Avg(us): 68217, Min(us): 28880, Max(us): 116543, 50th(us): 71743, 90th(us): 86335, 95th(us): 90367, 99th(us): 97919, 99.9th(us): 111935, 99.99th(us): 116543
READ_ERROR - Takes(s): 119.9, Count: 1788, OPS: 14.9, Avg(us): 68680, Min(us): 28720, Max(us): 116479, 50th(us): 72511, 90th(us): 86463, 95th(us): 90687, 99th(us): 96639, 99.9th(us): 104831, 99.99th(us): 116479
TOTAL  - Takes(s): 120.0, Count: 9158, OPS: 76.3, Avg(us): 52077, Min(us): 26352, Max(us): 116543, 50th(us): 44223, 90th(us): 79679, 95th(us): 84991, 99th(us): 93439, 99.9th(us): 105087, 99.99th(us): 116287
UPDATE - Takes(s): 120.0, Count: 5452, OPS: 45.4, Avg(us): 41105, Min(us): 26352, Max(us): 72255, 50th(us): 40799, 90th(us): 47935, 95th(us): 50079, 99th(us): 55551, 99.9th(us): 67071, 99.99th(us): 72191
