Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 9999]
***************** properties *****************
"threadcount"="4"
"insertproportion"="0"
"readproportion"="0.5"
"dotransactions"="false"
"docollectingdata"="false"
"readallfields"="true"
"etcd.endpoints"="192.168.37.11:2379"
"operationcount"="1000000"
"updateproportion"="0.5"
"workload"="core"
"measurementtype"="raw"
"command"="load"
"requestdistribution"="uniform"
"scanproportion"="0"
"etcd.dial_timeout"="1s"
"recordcount"="10000"
**********************************************
**********************************************
Run finished, takes 5m36.618769603s
operation,timestamp_us,latency_us
TOTAL,1717481327174894,31075
TOTAL,1717481327174886,54071
TOTAL,1717481327174876,54116
TOTAL,1717481327175250,53773
TOTAL,1717481327206036,77638
TOTAL,1717481327228999,76645
TOTAL,1717481327229030,102194
TOTAL,1717481327228968,102288
TOTAL,1717481327283753,78218
TOTAL,1717481327331286,149731
TOTAL,1717481327362014,119053
TOTAL,1717481327331236,149928
TOTAL,1717481327305706,175475
TOTAL,1717481327481091,96880
TOTAL,1717481327481123,97378
TOTAL,1717481327481289,97222
TOTAL,1717481327578048,73030
TOTAL,1717481327481307,169860
TOTAL,1717481327578625,72597
TOTAL,1717481327578580,72665
TOTAL,1717481327651314,192566
TOTAL,1717481327651314,192639
TOTAL,1717481327651144,192917
TOTAL,1717481327651234,192883
TOTAL,1717481327844023,192462
TOTAL,1717481327844127,192383
TOTAL,1717481327843945,192668
TOTAL,1717481327844183,192452
TOTAL,1717481328036580,80578
TOTAL,1717481328036559,80649
TOTAL,1717481328036721,80506
TOTAL,1717481328117275,90687
TOTAL,1717481328117319,90755
TOTAL,1717481328036701,171395
TOTAL,1717481328117223,90855
TOTAL,1717481328208035,40511
TOTAL,1717481328208247,94301
TOTAL,1717481328208178,94380
TOTAL,1717481328208188,203856
TOTAL,1717481328248616,163465
TOTAL,1717481328302625,132367
TOTAL,1717481328302614,132398
TOTAL,1717481328412178,74789
TOTAL,1717481328412146,96256
TOTAL,1717481328487032,103458
TOTAL,1717481328435080,155449
TOTAL,1717481328435083,155528
TOTAL,1717481328508475,108190
TOTAL,1717481328590554,98980
TOTAL,1717481328616731,161799
TOTAL,1717481328590680,187884
TOTAL,1717481328590593,188066
TOTAL,1717481328689554,110625
TOTAL,1717481328778773,209222
TOTAL,1717481328800246,187905
TOTAL,1717481328778637,209562
TOTAL,1717481328778653,209608
TOTAL,1717481328988066,83233
TOTAL,1717481328988328,192234
TOTAL,1717481328988266,192342
TOTAL,1717481329071374,109315
TOTAL,1717481328988219,192640
TOTAL,1717481329180637,86290
TOTAL,1717481329267003,183064
TOTAL,1717481329180925,269196
TOTAL,1717481329180692,269483
TOTAL,1717481329180788,269335
TOTAL,1717481329450139,81143
TOTAL,1717481329531322,166126
TOTAL,1717481329450340,247130
TOTAL,1717481329450240,247247
TOTAL,1717481329450199,247361
TOTAL,1717481329697500,226548
TOTAL,1717481329697585,226507
TOTAL,1717481329697520,226633
TOTAL,1717481329697478,226692
TOTAL,1717481329924118,94429
TOTAL,1717481329924159,94758
TOTAL,1717481329924270,94650
TOTAL,1717481329924242,94737
TOTAL,1717481330018979,184161
TOTAL,1717481330018648,184641
TOTAL,1717481330019001,184315
TOTAL,1717481330019046,184280
TOTAL,1717481330203388,241941
TOTAL,1717481330203388,241985
TOTAL,1717481330203206,242176
TOTAL,1717481330203381,242068
TOTAL,1717481330445398,222579
TOTAL,1717481330445448,222656
TOTAL,1717481330445519,222600
TOTAL,1717481330445449,222696
TOTAL,1717481330668251,90086
TOTAL,1717481330668204,287935
TOTAL,1717481330668051,288122
TOTAL,1717481330668189,287979
TOTAL,1717481330758411,197833
TOTAL,1717481330956310,73345
TOTAL,1717481330956244,306085
TOTAL,1717481331029743,232618
TOTAL,1717481330956216,306265
TOTAL,1717481330956247,306275
TOTAL,1717481331262432,323895
TOTAL,1717481331262547,323821
TOTAL,1717481331262396,324066
TOTAL,1717481331262597,323894
TOTAL,1717481331586530,247802
TOTAL,1717481331586404,248037
TOTAL,1717481331586482,248050
TOTAL,1717481331586625,247952
TOTAL,1717481331834401,99533
TOTAL,1717481331834520,213603
TOTAL,1717481331834644,213521
TOTAL,1717481331834630,213621
TOTAL,1717481331934001,179128
TOTAL,1717481332048320,86213
TOTAL,1717481332048231,251554
TOTAL,1717481332113225,186573
TOTAL,1717481332048191,251746
TOTAL,1717481332134591,165403
TOTAL,1717481332299886,229989
TOTAL,1717481332299850,230034
TOTAL,1717481332300058,229850
TOTAL,1717481332300006,229962
TOTAL,1717481332530004,206463
TOTAL,1717481332529993,206500
TOTAL,1717481332530055,206454
TOTAL,1717481332530016,206545
TOTAL,1717481332736538,208185
TOTAL,1717481332736629,208230
TOTAL,1717481332736569,208431
TOTAL,1717481332736596,208687
TOTAL,1717481332945108,201686
TOTAL,1717481332944933,201862
TOTAL,1717481332945349,201664
TOTAL,1717481332944872,202163
TOTAL,1717481333146864,59771
TOTAL,1717481333146865,186044
TOTAL,1717481333147084,185985
TOTAL,1717481333147103,186016
TOTAL,1717481333206704,201536
TOTAL,1717481333333187,200871
TOTAL,1717481333332976,201176
TOTAL,1717481333408342,126047
TOTAL,1717481333333141,201293
TOTAL,1717481333534194,96274
TOTAL,1717481333534235,96242
TOTAL,1717481333630540,144176
TOTAL,1717481333534497,240226
TOTAL,1717481333534462,240424
TOTAL,1717481333630541,240559
TOTAL,1717481333774803,263448
TOTAL,1717481333774952,263315
TOTAL,1717481333871174,167144
TOTAL,1717481333774789,263563
TOTAL,1717481334038418,256733
TOTAL,1717481334038321,256849
TOTAL,1717481334038446,256731
TOTAL,1717481334038373,256867
TOTAL,1717481334295317,61687
TOTAL,1717481334295240,218652
TOTAL,1717481334295259,218719
TOTAL,1717481334295259,218776
TOTAL,1717481334357074,250621
TOTAL,1717481334514082,169404
TOTAL,1717481334514113,169466
TOTAL,1717481334513956,169699
TOTAL,1717481334607764,75929
TOTAL,1717481334683576,71395
TOTAL,1717481334683781,175347
TOTAL,1717481334755034,104158
TOTAL,1717481334683682,175629
TOTAL,1717481334683745,175611
TOTAL,1717481334859191,168493
TOTAL,1717481334859449,168260
TOTAL,1717481334859381,168330
TOTAL,1717481334859257,168507
TOTAL,1717481335027819,71099
TOTAL,1717481335027759,71163
TOTAL,1717481335027819,164030
TOTAL,1717481335027829,164025
TOTAL,1717481335098988,93177
TOTAL,1717481335099008,115501
TOTAL,1717481335191926,64561
TOTAL,1717481335191961,72689
TOTAL,1717481335192228,72449
TOTAL,1717481335264739,93361
TOTAL,1717481335214586,143595
TOTAL,1717481335256552,101661
TOTAL,1717481335264724,93508
TOTAL,1717481335358165,68538
TOTAL,1717481335358249,91279
TOTAL,1717481335358298,91258
TOTAL,1717481335358313,91292
TOTAL,1717481335426767,125734
TOTAL,1717481335449594,131727
