Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"etcd.endpoints"="192.168.37.14:2379"
"insertproportion"="0"
"readallfields"="true"
"threadcount"="8"
"dotransactions"="true"
"operationcount"="50000"
"readproportion"="0.5"
"recordcount"="100000"
"measurementtype"="raw"
"docollectingdata"="false"
"command"="run"
"workload"="core"
"etcd.dial_timeout"="10s"
"requestdistribution"="uniform"
"scanproportion"="0"
"updateproportion"="0.5"
**********************************************
**********************************************
Run finished, takes 3m30.714394972s
operation,timestamp_us,latency_us
TOTAL,1716265690172745,25697
TOTAL,1716265690172771,25742
TOTAL,1716265690172814,25869
TOTAL,1716265690172841,25851
TOTAL,1716265690172765,25935
TOTAL,1716265690172779,26249
TOTAL,1716265690172860,47994
TOTAL,1716265690172772,48100
TOTAL,1716265690198467,23239
TOTAL,1716265690198728,23106
TOTAL,1716265690198700,44754
TOTAL,1716265690198529,45001
TOTAL,1716265690198703,44936
TOTAL,1716265690199040,44652
TOTAL,1716265690220876,23365
TOTAL,1716265690220895,23350
TOTAL,1716265690221723,31100
TOTAL,1716265690221855,30973
TOTAL,1716265690243481,23197
TOTAL,1716265690243568,23385
TOTAL,1716265690243713,23870
TOTAL,1716265690244254,23358
TOTAL,1716265690243651,24007
TOTAL,1716265690252848,25117
TOTAL,1716265690252842,25127
TOTAL,1716265690266705,23437
TOTAL,1716265690244263,45938
TOTAL,1716265690267634,29406
TOTAL,1716265690277982,34630
TOTAL,1716265690267672,45033
TOTAL,1716265690277980,34796
TOTAL,1716265690267593,45202
TOTAL,1716265690266968,45843
TOTAL,1716265690290219,44720
TOTAL,1716265690290159,44866
TOTAL,1716265690297056,37981
TOTAL,1716265690312631,23292
TOTAL,1716265690312797,23561
TOTAL,1716265690312723,23644
TOTAL,1716265690312819,45257
TOTAL,1716265690312808,45269
TOTAL,1716265690335055,23213
TOTAL,1716265690335044,23266
TOTAL,1716265690336373,24506
TOTAL,1716265690336383,24518
TOTAL,1716265690335936,43909
TOTAL,1716265690334952,45028
TOTAL,1716265690358100,23323
TOTAL,1716265690358323,23338
TOTAL,1716265690358292,23380
TOTAL,1716265690360887,41477
TOTAL,1716265690360913,41533
TOTAL,1716265690358091,44361
TOTAL,1716265690380000,23665
TOTAL,1716265690379869,23842
TOTAL,1716265690381693,23517
TOTAL,1716265690381673,43295
TOTAL,1716265690381436,43704
TOTAL,1716265690402383,23146
TOTAL,1716265690403724,23016
TOTAL,1716265690402458,45102
TOTAL,1716265690405221,42363
TOTAL,1716265690402464,45131
TOTAL,1716265690403678,43981
TOTAL,1716265690426758,23333
TOTAL,1716265690425541,44451
TOTAL,1716265690424980,45022
TOTAL,1716265690425156,45196
TOTAL,1716265690447600,23881
TOTAL,1716265690447614,23890
TOTAL,1716265690447603,23937
TOTAL,1716265690447682,23870
TOTAL,1716265690450119,23093
TOTAL,1716265690470020,23203
TOTAL,1716265690470004,23767
TOTAL,1716265690470366,23445
TOTAL,1716265690471563,24083
TOTAL,1716265690471496,24168
TOTAL,1716265690471522,24146
TOTAL,1716265690471565,24133
TOTAL,1716265690473231,23559
TOTAL,1716265690493237,23562
TOTAL,1716265690493787,23293
TOTAL,1716265690495683,23270
TOTAL,1716265690495680,43616
TOTAL,1716265690493825,45513
TOTAL,1716265690495715,43642
TOTAL,1716265690496803,42556
TOTAL,1716265690495658,43747
TOTAL,1716265690517100,23094
TOTAL,1716265690518970,42932
TOTAL,1716265690516809,45109
TOTAL,1716265690539377,23208
TOTAL,1716265690540218,23084
TOTAL,1716265690539349,45100
TOTAL,1716265690539308,45177
TOTAL,1716265690539368,45126
TOTAL,1716265690539416,45230
TOTAL,1716265690561940,23234
TOTAL,1716265690561919,23608
TOTAL,1716265690562604,23910
TOTAL,1716265690563317,43555
TOTAL,1716265690584466,23276
TOTAL,1716265690585196,23036
TOTAL,1716265690585550,23716
TOTAL,1716265690584505,44924
TOTAL,1716265690584514,44930
TOTAL,1716265690584658,44789
TOTAL,1716265690586521,42925
TOTAL,1716265690606891,23085
TOTAL,1716265690607770,23835
TOTAL,1716265690608251,23464
TOTAL,1716265690609278,42657
TOTAL,1716265690629452,23091
TOTAL,1716265690629472,23351
TOTAL,1716265690630001,22936
TOTAL,1716265690631635,23035
TOTAL,1716265690631730,43098
TOTAL,1716265690629452,45389
TOTAL,1716265690629461,45507
TOTAL,1716265690652564,23035
TOTAL,1716265690652847,23757
TOTAL,1716265690654690,23197
TOTAL,1716265690652949,44622
TOTAL,1716265690651947,45635
TOTAL,1716265690674857,23036
TOTAL,1716265690674991,23119
TOTAL,1716265690675615,23159
TOTAL,1716265690676640,23247
TOTAL,1716265690674840,45094
TOTAL,1716265690677898,42035
TOTAL,1716265690697605,23246
TOTAL,1716265690698128,23030
TOTAL,1716265690699920,23004
TOTAL,1716265690697905,44627
TOTAL,1716265690698787,43760
TOTAL,1716265690697582,44968
TOTAL,1716265690719961,23088
TOTAL,1716265690720886,23169
TOTAL,1716265690721173,23273
TOTAL,1716265690722943,23105
TOTAL,1716265690719945,45128
TOTAL,1716265690742566,23220
TOTAL,1716265690742554,23444
TOTAL,1716265690746066,23106
TOTAL,1716265690743061,44507
TOTAL,1716265690742564,45018
TOTAL,1716265690744069,43542
TOTAL,1716265690744460,43178
TOTAL,1716265690765091,23490
TOTAL,1716265690766012,44003
TOTAL,1716265690769186,40844
TOTAL,1716265690765800,44236
TOTAL,1716265690788601,23130
TOTAL,1716265690787623,44777
TOTAL,1716265690787597,44809
TOTAL,1716265690787579,44905
TOTAL,1716265690787650,44846
TOTAL,1716265690810055,23428
TOTAL,1716265690810039,23654
TOTAL,1716265690810048,23671
TOTAL,1716265690811755,23105
TOTAL,1716265690832424,23585
TOTAL,1716265690832412,23660
TOTAL,1716265690833737,23127
TOTAL,1716265690834882,27154
TOTAL,1716265690832496,45929
TOTAL,1716265690833705,44780
TOTAL,1716265690832507,45987
TOTAL,1716265690833500,45003
TOTAL,1716265690856043,23206
TOTAL,1716265690862051,38795
TOTAL,1716265690856877,44103
TOTAL,1716265690856085,44943
TOTAL,1716265690878447,23286
TOTAL,1716265690878505,23451
TOTAL,1716265690878519,23448
TOTAL,1716265690879273,23051
TOTAL,1716265690878515,45020
TOTAL,1716265690900864,23199
TOTAL,1716265690901750,23114
TOTAL,1716265690901980,23357
TOTAL,1716265690901973,23416
TOTAL,1716265690901040,45631
TOTAL,1716265690902336,44333
TOTAL,1716265690923554,23202
TOTAL,1716265690900991,45837
TOTAL,1716265690924085,23408
TOTAL,1716265690925426,23340
TOTAL,1716265690925347,43630
TOTAL,1716265690924878,44172
TOTAL,1716265690946851,23313
TOTAL,1716265690947507,23955
TOTAL,1716265690946683,44812
TOTAL,1716265690946769,44742
TOTAL,1716265690948776,42757
TOTAL,1716265690946684,44951
TOTAL,1716265690969067,23157
TOTAL,1716265690970182,23000
TOTAL,1716265690968988,44788
TOTAL,1716265690971608,42196
TOTAL,1716265690991538,23238
TOTAL,1716265690991663,23197
TOTAL,1716265690991550,44809
TOTAL,1716265690991514,44851
TOTAL,1716265690992241,44137
TOTAL,1716265690993193,43191
TOTAL,1716265691013823,23328
TOTAL,1716265691013794,23370
TOTAL,1716265691014876,23199
TOTAL,1716265691014795,44175
TOTAL,1716265691036399,23240
TOTAL,1716265691036389,23289
TOTAL,1716265691037176,44330
