Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"measurementtype"="raw"
"command"="run"
"workload"="core"
"scanproportion"="0"
"threadcount"="8"
"dotransactions"="true"
"insertproportion"="0"
"readproportion"="0.5"
"operationcount"="50000"
"requestdistribution"="uniform"
"docollectingdata"="false"
"etcd.dial_timeout"="10s"
"updateproportion"="0.5"
"etcd.endpoints"="192.168.37.15:2379"
"recordcount"="100000"
"readallfields"="true"
**********************************************
**********************************************
Run finished, takes 9m10.150120668s
operation,timestamp_us,latency_us
READ,1716265690796816,61886
READ,1716265690796715,120295
READ,1716265690796696,120337
READ,1716265690858718,117085
READ,1716265690858620,117191
READ,1716265690920380,114306
READ,1716265690920379,114399
READ,1716265690917022,117771
READ,1716265690980083,113520
READ,1716265690975824,117788
READ,1716265690976543,117197
READ,1716265691035734,116973
READ,1716265691034805,118029
READ,1716265691094596,117244
READ,1716265691156152,114338
READ,1716265691153575,116916
READ,1716265691154003,116624
READ,1716265691152721,117921
READ,1716265691213266,116186
READ,1716265691212251,117207
READ,1716265691213218,116322
READ,1716265691271290,117404
READ,1716265691270645,118152
READ,1716265691329467,118505
READ,1716265691330370,117625
READ,1716265691330441,118229
READ,1716265691329473,119230
READ,1716265691329551,119231
READ,1716265691448009,60021
READ,1716265691447985,118807
READ,1716265691448852,118003
READ,1716265691508882,116439
READ,1716265691508708,116702
READ,1716265691508711,116759
READ,1716265691508513,116966
READ,1716265691508094,117592
READ,1716265691567697,116675
READ,1716265691626427,116509
READ,1716265691625334,117624
READ,1716265691625483,117587
READ,1716265691625426,117659
READ,1716265691625697,117403
READ,1716265691685969,115931
READ,1716265691684385,117573
READ,1716265691742974,117565
READ,1716265691743090,117468
READ,1716265691742952,117618
READ,1716265691744467,116120
READ,1716265691802455,117081
READ,1716265691802836,116704
READ,1716265691801908,117786
READ,1716265691860598,117657
READ,1716265691923681,113202
READ,1716265691923612,113335
READ,1716265691983914,111787
READ,1716265691978267,117745
READ,1716265691981122,115056
READ,1716265691981294,114904
READ,1716265692041288,113370
READ,1716265692036892,117775
READ,1716265692096186,117290
READ,1716265692100713,112774
READ,1716265692096432,117092
READ,1716265692096211,117332
READ,1716265692156133,116358
READ,1716265692155176,117320
READ,1716265692214342,116715
READ,1716265692213536,117623
READ,1716265692213484,117699
READ,1716265692273780,115760
READ,1716265692272515,117140
READ,1716265692273352,116461
READ,1716265692273145,116706
READ,1716265692331070,118069
READ,1716265692390705,117117
READ,1716265692389553,118344
READ,1716265692389862,118045
READ,1716265692391342,116577
READ,1716265692449558,116856
READ,1716265692449578,116857
READ,1716265692507918,117139
READ,1716265692507833,117305
READ,1716265692507907,117274
READ,1716265692510034,115185
READ,1716265692568035,115823
READ,1716265692567304,116583
READ,1716265692625150,117906
READ,1716265692625194,117863
READ,1716265692625070,118070
READ,1716265692685580,116339
READ,1716265692684729,117196
READ,1716265692743559,117236
READ,1716265692743068,117740
READ,1716265692744774,116052
READ,1716265692802785,116686
READ,1716265692803115,116372
READ,1716265692861740,117181
READ,1716265692860821,118233
READ,1716265692861719,117453
READ,1716265692919500,117634
READ,1716265692920695,116468
READ,1716265692920643,116636
READ,1716265692979390,116541
READ,1716265692979182,116893
READ,1716265693041153,113789
READ,1716265693040078,114867
READ,1716265693037298,117661
READ,1716265693096565,116853
READ,1716265693159154,113047
READ,1716265693156494,115744
READ,1716265693155861,116401
READ,1716265693214871,116313
READ,1716265693215229,115975
READ,1716265693214550,116667
READ,1716265693213430,117864
READ,1716265693274020,115872
READ,1716265693272273,117680
READ,1716265693331306,117252
READ,1716265693389964,117133
READ,1716265693391058,116197
READ,1716265693391016,116299
READ,1716265693448571,117416
READ,1716265693450433,115852
READ,1716265693511703,113259
READ,1716265693507328,117681
READ,1716265693566776,117046
READ,1716265693571330,112597
READ,1716265693566002,117982
READ,1716265693566297,117695
READ,1716265693569140,114852
READ,1716265693624976,117580
READ,1716265693626299,116258
READ,1716265693683850,118006
READ,1716265693683994,117875
READ,1716265693684014,117889
READ,1716265693684084,117840
READ,1716265693743169,117533
READ,1716265693801870,117828
READ,1716265693802142,117580
READ,1716265693803167,116564
READ,1716265693801883,117851
READ,1716265693861596,116929
READ,1716265693861577,116964
READ,1716265693920753,116562
READ,1716265693920309,117064
READ,1716265693919746,117635
READ,1716265693919730,117662
READ,1716265693919742,117696
READ,1716265693978538,117437
READ,1716265693978556,117429
READ,1716265694037448,117243
READ,1716265694037330,117381
READ,1716265694037416,117342
READ,1716265694097277,116084
READ,1716265694097303,116127
READ,1716265694154704,117569
READ,1716265694155647,116656
READ,1716265694155625,116752
READ,1716265694213445,117541
READ,1716265694214358,116647
READ,1716265694272287,117453
READ,1716265694278224,111547
READ,1716265694272757,117138
READ,1716265694331019,117660
READ,1716265694333162,115519
READ,1716265694332000,116698
READ,1716265694389906,117449
READ,1716265694390279,117125
READ,1716265694389753,117681
READ,1716265694448692,117609
READ,1716265694448696,117612
READ,1716265694448710,117718
READ,1716265694507449,117673
READ,1716265694507367,117769
READ,1716265694507416,117739
READ,1716265694566438,117517
READ,1716265694625148,117607
READ,1716265694625997,117001
READ,1716265694625134,117942
READ,1716265694628799,114277
