Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"workload"="core"
"readallfields"="true"
"threadcount"="8"
"command"="run"
"insertproportion"="0"
"etcd.dial_timeout"="10s"
"scanproportion"="0"
"readproportion"="0.5"
"dotransactions"="true"
"operationcount"="50000"
"measurementtype"="raw"
"docollectingdata"="false"
"recordcount"="100000"
"etcd.endpoints"="192.168.37.16:2379"
"requestdistribution"="uniform"
"updateproportion"="0.5"
**********************************************
**********************************************
Run finished, takes 5m45.449650183s
operation,timestamp_us,latency_us
UPDATE,1716265691413506,40438
UPDATE,1716265691413745,40277
UPDATE,1716265691413518,40584
UPDATE,1716265691413583,40597
UPDATE,1716265691413607,40636
UPDATE,1716265691413872,40415
UPDATE,1716265691454208,37512
UPDATE,1716265691491751,37756
UPDATE,1716265691526925,37765
UPDATE,1716265691527057,37696
UPDATE,1716265691526927,37839
UPDATE,1716265691564717,37497
UPDATE,1716265691564766,37888
UPDATE,1716265691564785,37884
UPDATE,1716265691600460,37788
UPDATE,1716265691600484,37929
UPDATE,1716265691602685,37389
UPDATE,1716265691637175,37449
UPDATE,1716265691638428,37319
UPDATE,1716265691640089,37940
UPDATE,1716265691674211,37316
UPDATE,1716265691674123,37607
UPDATE,1716265691674641,37457
UPDATE,1716265691678050,37358
UPDATE,1716265691711552,37624
UPDATE,1716265691747840,38038
UPDATE,1716265691747815,38080
UPDATE,1716265691784834,37466
UPDATE,1716265691821616,37705
UPDATE,1716265691821633,37731
UPDATE,1716265691858364,37442
UPDATE,1716265691858295,37610
UPDATE,1716265691858387,37992
UPDATE,1716265691858412,37972
UPDATE,1716265691895321,37388
UPDATE,1716265691895925,37348
UPDATE,1716265691896400,37374
UPDATE,1716265691932082,37456
UPDATE,1716265691933287,37372
UPDATE,1716265691933786,37427
UPDATE,1716265691968881,37606
UPDATE,1716265691970680,37736
UPDATE,1716265691971228,37396
UPDATE,1716265692008435,37529
UPDATE,1716265692042590,37524
UPDATE,1716265692045981,37498
UPDATE,1716265692079492,37619
UPDATE,1716265692079503,37788
UPDATE,1716265692079507,37800
UPDATE,1716265692083516,37462
UPDATE,1716265692117149,37784
UPDATE,1716265692117325,37642
UPDATE,1716265692120996,38333
UPDATE,1716265692159357,37538
UPDATE,1716265692189938,37638
UPDATE,1716265692189940,37659
UPDATE,1716265692227593,37623
UPDATE,1716265692227616,37728
UPDATE,1716265692263726,42248
UPDATE,1716265692304216,37778
UPDATE,1716265692306052,38026
UPDATE,1716265692305993,38140
UPDATE,1716265692338900,37273
UPDATE,1716265692344110,37495
UPDATE,1716265692375835,37538
UPDATE,1716265692376189,37762
UPDATE,1716265692375912,38092
UPDATE,1716265692412731,37811
UPDATE,1716265692412715,37830
UPDATE,1716265692413419,37526
UPDATE,1716265692414022,37398
UPDATE,1716265692413963,37801
UPDATE,1716265692450557,37478
UPDATE,1716265692451778,37304
UPDATE,1716265692486365,37522
UPDATE,1716265692488052,37288
UPDATE,1716265692523151,37874
UPDATE,1716265692523208,37899
UPDATE,1716265692523906,37530
UPDATE,1716265692559689,37230
UPDATE,1716265692561125,37559
UPDATE,1716265692596720,37694
UPDATE,1716265692596741,37870
UPDATE,1716265692596932,37698
