Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"etcd.endpoints"="192.168.37.17:2379"
"dotransactions"="true"
"command"="run"
"workload"="core"
"requestdistribution"="uniform"
"updateproportion"="0.5"
"etcd.dial_timeout"="10s"
"operationcount"="50000"
"docollectingdata"="false"
"insertproportion"="0"
"scanproportion"="0"
"measurementtype"="raw"
"readallfields"="true"
"threadcount"="8"
"readproportion"="0.5"
"recordcount"="100000"
**********************************************
**********************************************
Run finished, takes 4m49.376265461s
operation,timestamp_us,latency_us
READ,1716265692212621,34746
READ,1716265692212661,64896
READ,1716265692212723,64917
READ,1716265692212704,65037
READ,1716265692212595,65215
READ,1716265692212682,65138
READ,1716265692212654,65200
READ,1716265692247384,61066
READ,1716265692277762,61359
READ,1716265692277569,61574
READ,1716265692277865,61323
READ,1716265692277655,61557
READ,1716265692310131,59790
READ,1716265692308462,61465
READ,1716265692341190,59554
READ,1716265692339222,61549
READ,1716265692341171,59619
READ,1716265692339166,61642
READ,1716265692339133,61726
READ,1716265692372655,58941
READ,1716265692400758,61730
READ,1716265692401664,60826
READ,1716265692400784,61720
READ,1716265692400802,61738
READ,1716265692435700,57424
READ,1716265692431610,61575
READ,1716265692462551,61801
READ,1716265692462502,61869
READ,1716265692462503,61933
READ,1716265692495610,59654
READ,1716265692494193,61071
READ,1716265692524362,61702
READ,1716265692527037,59040
READ,1716265692524383,61704
READ,1716265692556026,60820
READ,1716265692555279,61666
READ,1716265692556466,60541
READ,1716265692587319,60126
READ,1716265692616858,61608
READ,1716265692618079,60449
READ,1716265692618222,60342
READ,1716265692649600,59594
READ,1716265692678996,61156
READ,1716265692682595,57595
READ,1716265692678575,61626
READ,1716265692678541,61678
READ,1716265692709207,61605
READ,1716265692711335,59486
READ,1716265692740227,61323
READ,1716265692740214,61340
READ,1716265692771852,60336
READ,1716265692770833,61365
READ,1716265692776521,55678
READ,1716265692773798,58423
READ,1716265692803338,59701
READ,1716265692832212,61811
READ,1716265692863976,61189
READ,1716265692865518,59649
READ,1716265692863053,62115
READ,1716265692895957,60014
READ,1716265692896372,59643
READ,1716265692927328,59395
READ,1716265692925437,61301
READ,1716265692925182,61706
READ,1716265692956790,60864
READ,1716265692959101,58572
READ,1716265692955997,61692
READ,1716265692956028,61719
READ,1716265692988120,59976
READ,1716265692986735,61387
READ,1716265692986749,61393
READ,1716265693017756,61082
READ,1716265693017669,61201
READ,1716265693048153,61568
READ,1716265693081608,58979
READ,1716265693078887,61710
READ,1716265693079743,60886
READ,1716265693079966,60686
READ,1716265693114764,56382
READ,1716265693140647,61313
READ,1716265693140669,61357
