Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"updateproportion"="0.5"
"scanproportion"="0"
"workload"="core"
"requestdistribution"="uniform"
"readproportion"="0.5"
"etcd.dial_timeout"="10s"
"threadcount"="8"
"readallfields"="true"
"dotransactions"="true"
"command"="run"
"etcd.endpoints"="192.168.37.18:2379"
"operationcount"="50000"
"docollectingdata"="false"
"measurementtype"="raw"
"insertproportion"="0"
"recordcount"="100000"
**********************************************
**********************************************
Run finished, takes 8m33.198726854s
operation,timestamp_us,latency_us
READ,1716265693007944,57990
READ,1716265693008029,112283
READ,1716265693008047,112270
READ,1716265693008036,112323
READ,1716265693008209,112171
READ,1716265693065857,109092
READ,1716265693065972,109009
READ,1716265693120391,109217
READ,1716265693121417,108234
READ,1716265693120330,109341
READ,1716265693120372,109314
READ,1716265693177057,107310
READ,1716265693229621,109445
READ,1716265693229682,109439
READ,1716265693229697,109545
READ,1716265693230609,108638
READ,1716265693286518,107597
READ,1716265693286206,107953
READ,1716265693339256,109554
READ,1716265693339957,108921
READ,1716265693339134,109752
READ,1716265693394827,108760
READ,1716265693394177,109529
READ,1716265693396006,107711
READ,1716265693394126,109600
READ,1716265693448891,109390
READ,1716265693448897,109528
READ,1716265693503731,109451
READ,1716265693505806,107392
READ,1716265693558295,110083
READ,1716265693613195,110010
READ,1716265693615243,108001
READ,1716265693615211,108038
READ,1716265693613940,109350
READ,1716265693670463,108030
READ,1716265693723218,109210
READ,1716265693723276,109171
READ,1716265693723303,109253
READ,1716265693724053,108622
READ,1716265693778511,108869
READ,1716265693779446,107970
READ,1716265693778710,108849
READ,1716265693832688,109592
READ,1716265693887391,109558
READ,1716265693888425,108551
READ,1716265693888412,108581
READ,1716265693943567,107984
READ,1716265693942295,109293
READ,1716265693943013,108580
READ,1716265693998451,107852
READ,1716265693997003,109306
READ,1716265694058983,101957
READ,1716265694051604,109446
READ,1716265694052908,108153
READ,1716265694052937,108159
READ,1716265694106314,109300
READ,1716265694107354,108393
READ,1716265694161071,109617
READ,1716265694161792,108945
READ,1716265694160953,109828
READ,1716265694270794,56189
READ,1716265694271041,110728
READ,1716265694326915,109615
READ,1716265694327000,109567
READ,1716265694326958,109618
READ,1716265694327681,108901
READ,1716265694327867,108716
READ,1716265694436592,56187
READ,1716265694437987,109712
READ,1716265694436589,111115
READ,1716265694492251,110320
READ,1716265694492899,109750
READ,1716265694548050,109221
READ,1716265694548725,108657
READ,1716265694553175,104207
READ,1716265694547717,109670
READ,1716265694603311,108540
READ,1716265694602584,109388
READ,1716265694602663,109410
READ,1716265694657454,109223
READ,1716265694657284,109423
READ,1716265694714908,106624
READ,1716265694713351,108285
READ,1716265694712084,109610
READ,1716265694766723,109966
READ,1716265694767770,108972
READ,1716265694768636,108114
READ,1716265694767767,109033
READ,1716265694821705,109837
READ,1716265694822411,109171
READ,1716265694821541,110111
READ,1716265694821639,110033
READ,1716265694876813,109421
READ,1716265694876760,109498
READ,1716265694876702,109615
READ,1716265694931665,109417
READ,1716265694932228,108913
READ,1716265694931598,109563
READ,1716265694931682,109497
READ,1716265694986249,109605
READ,1716265694988086,107793
READ,1716265695041177,109739
READ,1716265695041152,109811
READ,1716265695041192,109783
READ,1716265695042214,108783
READ,1716265695095867,109969
READ,1716265695097739,108109
READ,1716265695151509,109881
READ,1716265695152241,109227
READ,1716265695150976,110802
READ,1716265695206898,108318
READ,1716265695205860,109394
READ,1716265695206872,108440
READ,1716265695261736,115541
READ,1716265695261496,115886
READ,1716265695377282,56638
READ,1716265695377287,111432
READ,1716265695377364,111377
READ,1716265695377797,111023
READ,1716265695377408,111429
READ,1716265695433368,110201
READ,1716265695488731,109721
READ,1716265695489575,108924
READ,1716265695488973,109529
READ,1716265695544617,108689
READ,1716265695599064,109091
READ,1716265695599561,108607
READ,1716265695654411,108391
READ,1716265695654320,108623
READ,1716265695655653,107335
READ,1716265695710946,106655
READ,1716265695709136,108537
READ,1716265695708168,109520
READ,1716265695762815,109396
READ,1716265695763540,108697
READ,1716265695765071,107188
READ,1716265695818688,108121
READ,1716265695873629,108078
READ,1716265695873928,107826
READ,1716265695872225,109530
READ,1716265695872249,109527
READ,1716265695927587,108901
READ,1716265695929071,107452
READ,1716265695982271,108805
READ,1716265696036535,109265
READ,1716265696037255,108601
READ,1716265696037699,108180
READ,1716265696036503,109496
READ,1716265696093528,107793
READ,1716265696093538,107811
READ,1716265696091089,110332
READ,1716265696145869,110071
READ,1716265696150898,105092
READ,1716265696145891,110107
READ,1716265696201436,109386
READ,1716265696201578,109302
READ,1716265696257439,108257
READ,1716265696257119,108653
READ,1716265696255952,109845
READ,1716265696310893,109483
READ,1716265696313004,107385
READ,1716265696311513,108881
READ,1716265696365784,109210
READ,1716265696366291,108851
READ,1716265696420389,109665
READ,1716265696420407,109681
READ,1716265696422313,107844
READ,1716265696530100,56042
READ,1716265696531309,109990
READ,1716265696531890,109445
READ,1716265696586117,109671
READ,1716265696586164,109687
READ,1716265696641520,108892
READ,1716265696641384,109038
READ,1716265696695800,109504
READ,1716265696696556,108765
READ,1716265696753182,106883
READ,1716265696750435,109643
READ,1716265696805315,109441
READ,1716265696807822,106936
READ,1716265696807025,107920
READ,1716265696807585,107411
READ,1716265696914769,55827
READ,1716265696915793,109713
READ,1716265696915484,110055
READ,1716265696916597,109058
READ,1716265696970676,109616
READ,1716265696970605,109792
READ,1716265697025515,109613
READ,1716265697026106,109107
READ,1716265697026006,109238
READ,1716265697080988,109025
READ,1716265697081984,108173
READ,1716265697135255,109581
READ,1716265697135139,109751
READ,1716265697191292,108193
READ,1716265697190925,108651
READ,1716265697247308,107069
READ,1716265697245721,108718
READ,1716265697244900,109551
READ,1716265697247117,107373
READ,1716265697300603,108552
READ,1716265697299501,109679
READ,1716265697354856,108920
READ,1716265697354501,109400
READ,1716265697356741,107195
READ,1716265697354393,109552
READ,1716265697410157,108528
READ,1716265697409195,109579
READ,1716265697410133,108803
READ,1716265697463944,109362
READ,1716265697463951,109367
READ,1716265697519037,109224
READ,1716265697519369,109069
READ,1716265697518949,109767
READ,1716265697574509,108558
READ,1716265697573318,109764
READ,1716265697573330,109758
READ,1716265697574246,108847
READ,1716265697628452,109438
READ,1716265697628727,109296
READ,1716265697628276,109789
READ,1716265697631079,107319
READ,1716265697683091,109482
READ,1716265697739208,108078
READ,1716265697738729,108671
READ,1716265697739178,108221
READ,1716265697793874,108214
READ,1716265697793639,108511
READ,1716265697793460,108724
READ,1716265697793274,108935
READ,1716265697792585,109640
READ,1716265697847416,111347
READ,1716265697902195,111392
READ,1716265697902103,111566
READ,1716265697903278,110396
READ,1716265697902220,111462
READ,1716265697958777,109408
READ,1716265697959069,109131
READ,1716265698014494,108669
READ,1716265698013600,109640
READ,1716265698013686,109602
READ,1716265698014489,108807
READ,1716265698069331,108634
READ,1716265698068213,109800
READ,1716265698069276,108784
READ,1716265698068198,109897
READ,1716265698123176,109709
READ,1716265698123308,109663
READ,1716265698123254,109834
READ,1716265698178635,109094
READ,1716265698178074,109692
READ,1716265698177979,109832
READ,1716265698233707,108947
READ,1716265698233436,109267
READ,1716265698232984,109726
READ,1716265698288813,108571
READ,1716265698287822,109616
READ,1716265698288394,109066
READ,1716265698342718,109388
READ,1716265698398648,108336
READ,1716265698398696,108288
READ,1716265698397449,109699
READ,1716265698452120,109744
READ,1716265698453004,108862
READ,1716265698510225,106443
READ,1716265698508737,107948
READ,1716265698507161,109611
READ,1716265698506996,109808
READ,1716265698565167,106214
READ,1716265698561880,109534
READ,1716265698617359,108826
READ,1716265698616700,109588
READ,1716265698616784,109532
READ,1716265698616814,109509
READ,1716265698616685,109680
READ,1716265698673247,107675
READ,1716265698671428,109590
READ,1716265698671393,109633
READ,1716265698726334,109456
READ,1716265698726197,109635
READ,1716265698726322,109544
READ,1716265698726379,109834
READ,1716265698726303,109924
READ,1716265698781037,109701
READ,1716265698781032,109734
READ,1716265698780938,109865
READ,1716265698836221,109246
READ,1716265698836235,109268
READ,1716265698835844,109690
READ,1716265698835877,109746
READ,1716265698890817,109581
READ,1716265698891341,109105
READ,1716265698890751,109730
READ,1716265698945518,109472
READ,1716265698945547,109492
READ,1716265698945634,109429
READ,1716265698945481,109613
READ,1716265699000503,109602
READ,1716265699000468,109650
READ,1716265699055056,109851
READ,1716265699111579,108209
READ,1716265699110799,109055
READ,1716265699110118,109753
READ,1716265699110129,109785
READ,1716265699166036,108726
READ,1716265699164919,109913
READ,1716265699219867,109560
READ,1716265699219800,109672
READ,1716265699219924,109556
READ,1716265699221781,107699
READ,1716265699275367,108708
READ,1716265699274844,109396
READ,1716265699329440,109446
READ,1716265699334980,103908
READ,1716265699385376,108245
READ,1716265699384990,108771
READ,1716265699384247,109539
READ,1716265699440686,107586
READ,1716265699494595,108466
READ,1716265699496689,106378
READ,1716265699494478,108703
READ,1716265699495038,108182
READ,1716265699548288,109333
READ,1716265699549426,108314
READ,1716265699604840,107503
READ,1716265699604834,107594
READ,1716265699603075,109362
READ,1716265699657747,109084
READ,1716265699657629,109341
READ,1716265699712449,109700
READ,1716265699714527,107637
READ,1716265699714284,107895
READ,1716265699712356,109875
READ,1716265699769789,107526
READ,1716265699767675,109737
READ,1716265699766976,110437
READ,1716265699877330,55885
READ,1716265699877425,110732
READ,1716265699877423,110749
