Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"threadcount"="8"
"measurementtype"="raw"
"recordcount"="100000"
"readallfields"="true"
"readproportion"="0.5"
"updateproportion"="0.5"
"etcd.dial_timeout"="10s"
"insertproportion"="0"
"requestdistribution"="uniform"
"command"="run"
"docollectingdata"="false"
"etcd.endpoints"="192.168.37.19:2379"
"operationcount"="50000"
"scanproportion"="0"
"dotransactions"="true"
"workload"="core"
**********************************************
**********************************************
Run finished, takes 6m59.782222071s
operation,timestamp_us,latency_us
READ,1716265693738537,48478
READ,1716265693738540,92752
READ,1716265693738665,92630
READ,1716265693738510,92807
READ,1716265693786869,89494
READ,1716265693787033,89437
READ,1716265693832249,88943
READ,1716265693831326,89947
READ,1716265693876384,89770
READ,1716265693877139,89361
READ,1716265693877033,89580
READ,1716265693878460,88167
READ,1716265693966508,45923
READ,1716265693966861,90389
READ,1716265693969230,88284
READ,1716265693966638,90904
READ,1716265694012455,89333
READ,1716265694012407,89409
READ,1716265694058632,88086
READ,1716265694058703,88023
READ,1716265694057263,89499
READ,1716265694102930,89242
READ,1716265694101799,90416
READ,1716265694148378,88432
READ,1716265694146739,90072
READ,1716265694147308,89531
READ,1716265694146729,90156
READ,1716265694193813,87746
READ,1716265694192098,89536
READ,1716265694192187,89486
READ,1716265694236851,89445
READ,1716265694238400,87955
READ,1716265694236897,89461
READ,1716265694236825,89566
READ,1716265694236824,89587
READ,1716265694281647,89385
READ,1716265694281573,89470
READ,1716265694326310,89361
READ,1716265694416597,45437
READ,1716265694461016,45861
READ,1716265694416583,90335
READ,1716265694418381,88570
READ,1716265694418105,88976
READ,1716265694417183,89905
READ,1716265694463619,88192
READ,1716265694507100,89444
READ,1716265694508977,87570
READ,1716265694553302,88614
READ,1716265694551825,90131
READ,1716265694553012,88963
READ,1716265694598709,87280
READ,1716265694596559,89437
READ,1716265694596555,89470
READ,1716265694641931,88688
READ,1716265694641987,88873
READ,1716265694686000,89661
READ,1716265694687651,88022
READ,1716265694735679,85153
READ,1716265694731452,89411
READ,1716265694735426,85461
READ,1716265694730871,90034
READ,1716265694730632,90276
READ,1716265694775674,89789
READ,1716265694776804,88660
READ,1716265694821226,89114
READ,1716265694820919,89436
READ,1716265694820844,89521
READ,1716265694820917,89459
READ,1716265694820873,89797
READ,1716265694865476,89567
READ,1716265694865475,89572
READ,1716265694910374,89576
READ,1716265694910677,89370
READ,1716265694910368,89681
READ,1716265694955055,89725
READ,1716265694955980,88903
READ,1716265694956210,88677
READ,1716265695000063,90401
READ,1716265694999960,90508
READ,1716265695044791,90572
READ,1716265695046479,88922
READ,1716265695046057,89357
READ,1716265695090477,89871
READ,1716265695090479,89880
READ,1716265695135376,89995
READ,1716265695138015,87373
READ,1716265695135413,90044
READ,1716265695136235,89269
READ,1716265695180372,90181
READ,1716265695227147,88277
READ,1716265695225515,89957
READ,1716265695225921,89565
READ,1716265695225424,90079
READ,1716265695272159,95077
READ,1716265695270569,96763
READ,1716265695271369,95997
READ,1716265695317777,94266
READ,1716265695367341,89583
READ,1716265695367508,89419
READ,1716265695367526,89483
READ,1716265695367473,89549
READ,1716265695367569,89458
READ,1716265695413128,88672
READ,1716265695457038,89455
READ,1716265695457538,88966
READ,1716265695457034,89486
READ,1716265695503026,88412
READ,1716265695502668,88782
READ,1716265695504465,87012
READ,1716265695547315,88915
READ,1716265695547969,88262
READ,1716265695591463,89554
READ,1716265695592164,88867
READ,1716265695636243,89422
READ,1716265695637805,87873
READ,1716265695683288,87289
READ,1716265695725689,89560
READ,1716265695728567,86757
READ,1716265695726627,88732
READ,1716265695727098,88275
READ,1716265695725679,89728
READ,1716265695815264,46292
READ,1716265695816024,90270
READ,1716265695815417,90956
READ,1716265695817837,88556
READ,1716265695815370,91048
READ,1716265695819906,86489
READ,1716265695860987,90169
READ,1716265695906430,89644
READ,1716265695906483,89639
READ,1716265695907065,89090
READ,1716265695906307,89886
READ,1716265695906421,89789
READ,1716265695906385,89930
READ,1716265695996133,45911
READ,1716265695996090,45989
READ,1716265695996204,90489
READ,1716265695998475,88231
READ,1716265695996222,90910
READ,1716265696042011,89583
READ,1716265696086706,89742
READ,1716265696086718,89737
READ,1716265696087759,88738
READ,1716265696133003,88280
READ,1716265696178912,86984
READ,1716265696176512,89389
READ,1716265696222777,88044
READ,1716265696221298,89542
READ,1716265696222054,88932
READ,1716265696269320,86329
READ,1716265696265909,89751
READ,1716265696269935,85729
READ,1716265696267706,87980
READ,1716265696265914,89778
READ,1716265696310994,89423
READ,1716265696310852,89570
READ,1716265696355660,89648
READ,1716265696355704,89605
READ,1716265696355678,89645
READ,1716265696355670,89661
READ,1716265696355698,89649
READ,1716265696400434,89562
READ,1716265696445893,88921
READ,1716265696445359,89514
READ,1716265696445323,89551
READ,1716265696445340,89564
READ,1716265696490010,89680
READ,1716265696491257,88485
READ,1716265696538442,85984
READ,1716265696580344,89136
READ,1716265696579754,89757
READ,1716265696626244,88199
READ,1716265696627516,86942
READ,1716265696625167,89294
READ,1716265696671667,87416
READ,1716265696717390,86329
READ,1716265696714458,89263
READ,1716265696714469,89270
READ,1716265696715053,88713
READ,1716265696714473,89330
READ,1716265696760787,87613
READ,1716265696759099,89304
READ,1716265696803752,89450
READ,1716265696806253,86952
READ,1716265696803817,89434
READ,1716265696803735,89554
READ,1716265696803780,89543
READ,1716265696848414,89487
READ,1716265696848415,89585
READ,1716265696893264,89268
READ,1716265696939011,88155
READ,1716265696939039,88132
READ,1716265696938826,88350
READ,1716265696938016,89182
READ,1716265696940219,87019
READ,1716265696938815,88623
READ,1716265696983425,88804
READ,1716265697027205,89630
READ,1716265697027178,89777
READ,1716265697072693,89118
READ,1716265697117823,88629
READ,1716265697116847,89654
READ,1716265697116967,89562
READ,1716265697118039,88511
READ,1716265697161825,89399
READ,1716265697163745,87492
READ,1716265697163749,87495
READ,1716265697206513,89544
READ,1716265697206539,89527
READ,1716265697206465,89662
READ,1716265697251879,88859
READ,1716265697253906,86855
READ,1716265697296139,89424
READ,1716265697296078,89500
READ,1716265697340751,89532
READ,1716265697342560,87763
READ,1716265697341853,88498
READ,1716265697340771,89659
READ,1716265697388421,86479
READ,1716265697388666,86344
READ,1716265697385591,89419
READ,1716265697385575,89477
READ,1716265697430442,89353
READ,1716265697430363,89448
READ,1716265697430336,89597
READ,1716265697475025,90183
READ,1716265697475065,90203
READ,1716265697474915,90356
READ,1716265697475022,90254
READ,1716265697565244,46255
READ,1716265697565299,91291
READ,1716265697611477,90067
READ,1716265697611061,90507
READ,1716265697611470,90139
READ,1716265697611532,90145
READ,1716265697656988,89360
READ,1716265697656584,89769
READ,1716265697656602,89763
READ,1716265697701621,89528
READ,1716265697701581,89576
READ,1716265697747293,88541
READ,1716265697746366,89481
READ,1716265697747328,88551
READ,1716265697748737,87226
READ,1716265697792307,88446
READ,1716265697792279,88475
READ,1716265697791163,89619
READ,1716265697791171,89644
READ,1716265697835849,89691
READ,1716265697880828,90084
READ,1716265697880771,90173
READ,1716265697927278,88369
READ,1716265697926489,89314
READ,1716265697927275,88544
READ,1716265697926486,89359
READ,1716265697926733,89114
READ,1716265697970905,89617
READ,1716265698015861,89482
READ,1716265698015834,89546
READ,1716265698016279,89152
READ,1716265698016465,89011
READ,1716265698015817,89684
READ,1716265698015859,89654
READ,1716265698105444,46256
READ,1716265698105511,91076
READ,1716265698151824,89405
READ,1716265698152190,89099
READ,1716265698151222,90089
READ,1716265698151785,89546
READ,1716265698197530,88388
READ,1716265698241300,89444
READ,1716265698241242,89586
READ,1716265698242780,88052
READ,1716265698241343,89496
READ,1716265698242924,87926
READ,1716265698242235,88632
READ,1716265698285932,89289
READ,1716265698330852,89172
READ,1716265698330844,89253
READ,1716265698330842,89311
READ,1716265698330758,89405
READ,1716265698376685,88193
READ,1716265698422205,87562
READ,1716265698420165,89655
READ,1716265698420119,89762
READ,1716265698424380,85526
READ,1716265698466221,88329
READ,1716265698512104,87272
READ,1716265698509778,89683
READ,1716265698511625,87861
READ,1716265698509831,89662
READ,1716265698554564,89618
READ,1716265698555681,88552
READ,1716265698601073,87898
READ,1716265698599389,89584
READ,1716265698644248,89557
READ,1716265698645010,88806
READ,1716265698646413,87424
READ,1716265698688986,89436
READ,1716265698688986,89523
READ,1716265698733829,89293
READ,1716265698733816,89475
READ,1716265698782202,85825
READ,1716265698823135,89516
READ,1716265698827047,85675
READ,1716265698823303,89432
READ,1716265698872754,84623
READ,1716265698869921,87468
READ,1716265698912733,89305
READ,1716265698915564,86493
READ,1716265698961364,85399
READ,1716265698958377,88391
READ,1716265699004118,87352
READ,1716265699003271,88233
READ,1716265699002071,89443
READ,1716265699046779,89472
READ,1716265699047482,88779
READ,1716265699046775,89495
READ,1716265699049146,87198
READ,1716265699091483,89605
READ,1716265699091525,89569
READ,1716265699136264,89639
READ,1716265699136358,89595
READ,1716265699139827,86171
READ,1716265699136841,89187
READ,1716265699225919,45914
READ,1716265699227132,89693
READ,1716265699226040,90867
READ,1716265699226011,90918
READ,1716265699227304,89683
READ,1716265699225965,91034
READ,1716265699226586,90426
READ,1716265699271846,89689
READ,1716265699317024,89140
READ,1716265699316997,89212
READ,1716265699316919,89309
READ,1716265699316947,89286
READ,1716265699318097,88140
READ,1716265699406176,46533
READ,1716265699407180,90019
READ,1716265699406250,90959
READ,1716265699408009,89200
READ,1716265699453629,88442
READ,1716265699452652,89427
READ,1716265699452649,89455
READ,1716265699497353,89401
READ,1716265699497221,89535
READ,1716265699542115,92106
READ,1716265699542083,93069
READ,1716265699543077,94776
READ,1716265699543424,94750
READ,1716265699587871,88236
READ,1716265699586771,89343
READ,1716265699638394,82400
READ,1716265699635165,85708
READ,1716265699638186,82730
READ,1716265699634235,86735
READ,1716265699689193,76478
READ,1716265699676129,89583
READ,1716265699689189,76594
READ,1716265699676122,89670
READ,1716265699720982,89617
READ,1716265699765720,89687
READ,1716265699765803,89617
READ,1716265699812410,87864
READ,1716265699811471,89039
READ,1716265699812428,88085
READ,1716265699811205,89322
READ,1716265699856021,88877
READ,1716265699857722,87220
READ,1716265699855420,89547
READ,1716265699855433,89573
READ,1716265699900290,89603
READ,1716265699900539,89370
READ,1716265699944977,89425
READ,1716265699946276,88173
READ,1716265699944912,89702
READ,1716265699990645,88644
READ,1716265700034412,89921
READ,1716265700035451,88894
READ,1716265700037390,86955
READ,1716265700079699,89407
READ,1716265700080689,88441
READ,1716265700124360,89638
READ,1716265700124933,89101
READ,1716265700169147,89739
READ,1716265700169921,89002
READ,1716265700169118,89830
READ,1716265700169759,89196
READ,1716265700171543,87424
READ,1716265700214052,89873
READ,1716265700259589,89244
READ,1716265700258898,89961
READ,1716265700258961,89926
READ,1716265700258978,89967
READ,1716265700307113,86457
READ,1716265700304852,88722
READ,1716265700349682,88924
READ,1716265700348847,89809
READ,1716265700348899,89772
READ,1716265700348871,89803
READ,1716265700348985,89849
READ,1716265700396368,87554
READ,1716265700438620,89805
READ,1716265700439085,89352
READ,1716265700438668,89826
READ,1716265700484584,88764
READ,1716265700535957,82182
READ,1716265700542195,75980
READ,1716265700535805,82478
READ,1716265700528434,89906
READ,1716265700574151,88799
READ,1716265700573832,89152
READ,1716265700618351,89525
READ,1716265700618187,89795
READ,1716265700618155,89837
READ,1716265700678532,74156
READ,1716265700664484,88263
READ,1716265700662963,89827
READ,1716265700707890,89708
READ,1716265700709241,88365
READ,1716265700708005,89620
READ,1716265700752701,89642
READ,1716265700753980,88370
READ,1716265700753650,88710
READ,1716265700797613,89342
READ,1716265700798939,88057
READ,1716265700797619,89395
READ,1716265700797637,89412
READ,1716265700842372,89316
READ,1716265700888355,87950
READ,1716265700887011,89325
READ,1716265700931702,89457
READ,1716265700932641,88520
READ,1716265700932681,88561
READ,1716265700976347,89548
READ,1716265700978416,87522
READ,1716265701021174,89419
READ,1716265701021255,89339
READ,1716265701066665,88696
READ,1716265701065908,89456
READ,1716265701070031,85358
READ,1716265701067625,87781
READ,1716265701065953,89459
READ,1716265701070853,84572
READ,1716265701110606,89684
READ,1716265701155436,89551
READ,1716265701155399,89595
READ,1716265701155373,89626
READ,1716265701201683,88096
READ,1716265701245006,89535
READ,1716265701245008,89553
READ,1716265701247049,87597
READ,1716265701245000,89660
READ,1716265701292564,86525
READ,1716265701290979,88131
READ,1716265701289792,89336
READ,1716265701334657,89197
READ,1716265701334552,89412
READ,1716265701380111,88992
READ,1716265701380131,88998
READ,1716265701379104,90091
READ,1716265701423978,89820
READ,1716265701428993,84806
READ,1716265701470698,87711
READ,1716265701469211,89214
READ,1716265701514723,89113
READ,1716265701515146,89275
READ,1716265701514783,89778
READ,1716265701513812,90775
READ,1716265701515689,88928
READ,1716265701558425,90208
READ,1716265701604443,89050
READ,1716265701604640,88854
READ,1716265701604880,88612
READ,1716265701650773,87580
READ,1716265701650745,87658
READ,1716265701650828,87630
READ,1716265701693507,89608
READ,1716265701738470,89407
READ,1716265701741725,86194
